trialname,Right_AnkleDorsiFlexion_min,Right_AnkleDorsiFlexion_max,Right_AnkleDorsiFlexion_rom,Right_AnkleDorsiFlexion_td,Right_AnkleDorsiFlexion_to,Right_AnkleInversion_min,Right_AnkleInversion_max,Right_AnkleInversion_rom,Right_AnkleInversion_td,Right_AnkleInversion_to,Right_AnkleInternalRotation_min,Right_AnkleInternalRotation_max,Right_AnkleInternalRotation_rom,Right_AnkleInternalRotation_td,Right_AnkleInternalRotation_to,Right_KneeFlexion_min,Right_KneeFlexion_max,Right_KneeFlexion_rom,Right_KneeFlexion_td,Right_KneeFlexion_to,Right_KneeAdduction_min,Right_KneeAdduction_max,Right_KneeAdduction_rom,Right_KneeAdduction_td,Right_KneeAdduction_to,Right_KneeInternalRotation_min,Right_KneeInternalRotation_max,Right_KneeInternalRotation_rom,Right_KneeInternalRotation_td,Right_KneeInternalRotation_to,Right_HipFlexion_min,Right_HipFlexion_max,Right_HipFlexion_rom,Right_HipFlexion_td,Right_HipFlexion_to,Right_HipAdduction_min,Right_HipAdduction_max,Right_HipAdduction_rom,Right_HipAdduction_td,Right_HipAdduction_to,Right_HipInternalRotation_min,Right_HipInternalRotation_max,Right_HipInternalRotation_rom,Right_HipInternalRotation_td,Right_HipInternalRotation_to
P03_Base_0005,-14.8457298249066,11.1851348777229,26.0308647026295,4.24253635860285,-14.8457298249066,-13.7144837566183,-7.01645024852767,6.69803350809058,-8.18685031160353,-9.89112368834504,12.3725770128047,20.1101859317719,7.73760891896724,18.6685135776925,16.6521953307889,-1.15614611568425,50.7349146628087,51.8910607784929,-1.15614611568425,50.7349146628087,-0.199859245495234,2.89353427222256,3.0933935177178,0.867703218395082,0.716007429316127,-7.445151870492,13.3096199864198,20.7547718569118,-7.15001306257822,5.6620254151221,-5.77624699321075,34.5247751493305,40.3010221425412,34.0478629323641,6.6994322941115,-6.97037213156129,8.63654747083508,15.6069196023964,-3.56097671721728,-6.96605257929813,-4.27728812121094,3.59129345570744,7.86858157691838,-2.8275227924114,3.2470427142257
P03_Base_0006,-13.9418663950256,11.8541400670822,25.7960064621078,3.66933772104411,-12.9454045474502,-13.9908859543111,-6.66036063597021,7.33052531834091,-7.91564200910841,-9.87941448450788,12.0752745561401,20.5672643561992,8.49198980005903,18.9990034296914,16.6751399485908,-1.81679233131429,49.8200266594354,51.6368189907497,-1.81679233131429,49.8200266594354,-0.303111059511933,3.10117548949618,3.40428654900811,0.74426384533831,0.534094238102383,-7.61621883861939,12.1458693014756,19.762088140095,-7.41792854212587,4.78521107614202,-6.10565553353195,34.5430661029626,40.6487216364946,33.8145750388699,6.12919001307646,-7.20581933737058,8.56475286415895,15.7705722015295,-3.75191251524483,-7.19476880954273,-4.59675274710785,3.50412710710982,8.10087985421767,-2.76033187143907,3.18345418557785
P03_Base_0007,-14.8727297713082,11.7028981006449,26.575627871953,4.01796898483699,-14.8727297713082,-14.2679903175405,-7.19539111915678,7.07259919838372,-8.02488367156031,-10.1927958423946,11.7769108918258,19.8933310886178,8.11642019679203,18.8640506046919,16.3103793608829,-1.29351100168244,51.1060788336986,52.3995898353811,-1.29351100168244,51.1060788336986,-0.368772357191542,2.69186135205536,3.0606337092469,0.82344419464671,0.432786329285966,-7.06112765519326,14.0583970048721,21.1195246600654,-6.90537014112371,5.64444733088174,-6.03904907097156,35.3099023760213,41.3489514469929,34.9998476191,6.52403370644107,-7.17285101477262,9.19189961329136,16.364750628064,-3.697981410718,-7.17285101477262,-3.7847265628979,4.33575829676534,8.12048485966324,-2.41673982971436,3.47609683643669
P03_Mid_0017,-15.9756132113086,10.0043754541738,25.9799886654824,4.94719505334122,-15.9756132113086,-15.5028747917845,-7.09522247647373,8.40765231531081,-8.69328564010275,-10.120275792562,10.4819333003591,20.0210520325051,9.53911873214595,18.0660139165565,16.3923757234063,-1.53584498669736,50.4733316775925,52.0091766642899,-1.17611039847027,50.4733316775925,-0.419156557111662,3.00347870966995,3.42263526678161,0.644588820976028,0.0222892210748639,-7.99605337527406,14.3993555086255,22.3954088838996,-7.66969696075187,6.35696612735486,-6.99515705818822,35.4579124433822,42.4530695015705,34.7807830098244,4.77468522680048,-8.54871923964145,10.11591161106,18.6646308507015,-3.63707373350277,-8.54871923964145,-3.7399015344566,4.18900475690291,7.92890629135951,-2.48170166297984,3.20688854638422
P03_Mid_0019,-16.5357751480654,10.304262476826,26.8400376248914,6.38033025572172,-16.5357751480654,-16.1507292275667,-7.61410328752251,8.53662594004422,-9.3048096053663,-10.6604617420277,9.80125361172684,19.3873709826051,9.58611737087824,17.3441316413205,15.7804590062267,-0.95541165230708,48.9738432012953,49.9292548536024,-0.65371572320333,48.9738432012953,-0.432090557558344,2.90986647114861,3.34195702870695,0.732563576136301,-0.237251370521573,-9.20073021396213,13.8759619212969,23.076692135259,-7.36531534877692,5.93022051167791,-7.92147009014913,37.3902807292389,45.311750819388,36.0614927279436,2.77174310818155,-9.41273066998847,10.1251020987346,19.5378327687231,-4.35283455253838,-9.41273066998847,-4.05842579122888,4.04714982253234,8.10557561376122,-2.96822758162182,2.77710177002658
P03_Mid_0020,-15.9950813161344,9.22609461929317,25.2211759354276,4.83986436863497,-15.9950813161344,-16.0123861326568,-7.05101296509309,8.96137316756374,-8.90856565993875,-10.0778879708625,9.94341737816836,20.0690363596744,10.125618981506,17.8070641444843,16.4405418785387,-1.0966380853226,49.4262118068011,50.5228498921237,-0.452390490633289,49.4262118068011,-0.441284914769763,3.05012027406046,3.49140518883022,0.6920293113931,-0.23679827818175,-8.81637792565137,14.5874164846803,23.4037944103317,-7.98929376393308,6.59097303374211,-7.58273315339139,37.1041716230356,44.686904776427,36.1757320577849,3.21658210343691,-9.32138178705038,10.8869393160374,20.2083211030878,-3.97923993662114,-9.32138178705038,-3.95623318902989,4.57278613684793,8.52901932587782,-2.91173265462207,3.02574557027852
P03_Mid_0021,-17.3678307350816,10.1475333543702,27.5153640894518,5.52826751876797,-17.3678307350816,-15.3414003995694,-6.69167461948726,8.64972578008217,-9.22888321435717,-10.1541468887319,10.6411119413253,20.5128943442721,9.87178240294683,17.4317213440525,16.3489421483617,-1.16179323193835,48.0793520296834,49.2411452616217,-0.752247792222052,48.0793520296834,-0.572138565708178,3.00827578392331,3.58041434963149,0.600960006151138,-0.38861023832189,-8.71890746494584,14.6955315677422,23.414439032688,-8.01006698981108,6.48604726307434,-8.14040514287458,37.3631306256528,45.5035357685274,36.1020174481477,3.36820687304586,-9.13557420535554,10.5125860153183,19.6481602206739,-3.94296706844886,-9.13557420535554,-4.68739263678369,4.00986380655576,8.69725644333946,-3.53579863393366,2.99365047190009
P03_Mid_0022,-16.9650202202692,10.0669334353668,27.031953655636,5.55063193283989,-16.9650202202692,-15.5984327397271,-7.92174376470869,7.67668897501837,-9.13299163161898,-11.1683539037032,10.3729154138293,19.018368294239,8.64545288040968,17.5435535645019,15.210361910228,-0.871004915742225,49.4396358321363,50.3106407478785,-0.288666866536987,49.4396358321363,-0.380504959466284,2.85859748238032,3.2391024418466,0.66957980367711,-0.00198944318088962,-9.19286422330614,13.324163096479,22.5170273197852,-7.94446794235202,5.29185773301995,-7.68162663283749,37.4776122603129,45.1592388931504,36.5572811639803,3.44036016670202,-8.78092286602551,10.0773592595917,18.8582821256173,-4.68795212680675,-8.78092286602551,-4.71882227272551,3.84407203099236,8.56289430371787,-3.31612063954027,2.69632827048795
P05_Base_0002,-25.2174067318142,5.09629742243633,30.3137041542505,-0.268065085602262,-25.2174067318142,-5.32064011643302,-0.103014101598418,5.2176260148346,-0.552868626177373,-3.80772284445468,2.71209287308776,8.92064762378384,6.20855475069608,8.36155591286085,4.41934556672859,0.960397544650615,50.2070138738893,49.2466163292387,0.960397544650615,50.2070138738893,-0.355441319524699,2.39871965535103,2.75416097487573,0.116364227010961,1.18052504907751,-7.67672749619675,5.33593901354183,13.0126665097386,-6.30688046604582,-2.04585490684711,-11.8754569727221,28.9229171061147,40.7983740788368,27.3243265991005,-0.342692142205418,-7.86661382511477,7.916697890104,15.7833117152188,-2.85517952947925,-7.86661382511477,-4.47545268918701,1.55970926580645,6.03516195499345,-3.40333462524943,-2.80449474490337
P05_Base_0006,-27.3562561262707,4.90664857798135,32.2629047042521,0.227769352844103,-27.3562561262707,-5.60596244527303,-0.312995482169881,5.29296696310315,-0.762850006748836,-3.48472452188271,2.38464455947144,8.65415642120642,6.26951186173499,8.09506471028344,4.79389262816372,0.305548903534827,49.0674442715156,48.7618953679808,0.305548903534827,49.0674442715156,-0.435360271764952,2.57552257758696,3.01088284935191,0.142849408379269,1.56171190004284,-8.00591376542732,6.58101948749719,14.5869332529245,-6.33478375249035,-1.87338963256977,-11.0856283330888,28.9044361742011,39.9900645072899,27.4649014918055,-0.426913065754233,-6.52671991571411,8.77463906538004,15.3013589810942,-2.7176956923088,-6.52671991571411,-4.72191244992846,2.19565302482725,6.91756547475571,-3.54347171881127,-3.04309583080758
