Participant,Model,Angle,Mean,Std,Min,Max
P01,openpose,TD_Ankledorsiflexion,-4.467060653587606,1.842440993066244,-7.494406043952651,-1.3243626316738926
P01,openpose,TO_Ankledorsiflexion,1.3793095680105112,5.84682226212653,-11.253579661802988,13.379028618223757
P01,openpose,TD_Kneeflexion,1.4333755611522412,3.880794273693901,-2.990681823347302,9.069524624317069
P01,openpose,TO_Kneeflexion,36.86483914175549,6.453915459853206,27.578533337118984,48.504043895334775
P01,openpose,TD_Kneeadduction,-2.4553897111338783,3.2486093702365264,-8.03479942450383,2.4217361267657225
P01,openpose,TO_Kneeadduction,-6.113497450790925,4.784882914886048,-13.09549995424851,1.7893857379677058
P01,openpose,TD_Hipflexion,23.038825584864263,2.1464079891938006,19.97674294830236,26.86426571597229
P01,openpose,TO_Hipflexion,-14.064989075806938,7.471983911734169,-23.01721400986773,-1.8817441373677468
P03,openpose,TD_Ankledorsiflexion,-3.859651715584533,3.793219751854434,-10.975765155273663,0.421711942434527
P03,openpose,TO_Ankledorsiflexion,1.6974356051610409,3.7904491144006,-4.500052815439474,6.760446109851444
P03,openpose,TD_Kneeflexion,-1.729631587926769,3.9711135640812754,-6.728712538874788,3.822672675608999
P03,openpose,TO_Kneeflexion,37.79059763381041,16.245447823851073,-2.2062834188085105,53.3463148833828
P03,openpose,TD_Kneeadduction,-2.07280656237964,4.980042372780996,-9.522676240335016,5.458299070168664
P03,openpose,TO_Kneeadduction,-5.175092701823916,3.1886958444006117,-10.89042554975535,0.5841798549908219
P03,openpose,TD_Hipflexion,22.611702344929423,3.4092624705804644,18.161813320640107,30.47792571510845
P03,openpose,TO_Hipflexion,0.1169331676257297,16.50559075538683,-15.179856956527914,29.99734511266297
P05,openpose,TD_Ankledorsiflexion,-5.831775620153274,1.913160435468594,-9.271576192980945,-3.132182056464316
P05,openpose,TO_Ankledorsiflexion,13.6971920024941,4.623508232604756,4.756204525551112,19.921030003584008
P05,openpose,TD_Kneeflexion,-3.818198040346978,5.267644574830974,-10.711071777435876,3.771073562556325
P05,openpose,TO_Kneeflexion,32.793641866098994,6.369694061464535,21.72003596470049,41.45015636448852
P05,openpose,TD_Kneeadduction,2.03478428536503,1.4536397875544038,-1.066836666315652,4.971744794930089
P05,openpose,TO_Kneeadduction,-3.523151557527612,5.237721447823723,-17.813895238923237,4.050823218804197
P05,openpose,TD_Hipflexion,20.94278602331816,2.03388583416276,17.962139088466586,24.752835231897564
P05,openpose,TO_Hipflexion,-16.581772068529187,7.286097111749928,-27.38648179432945,-8.406353790803308
P06,openpose,TD_Ankledorsiflexion,-5.5700208831142985,1.76695596991533,-8.697021004365084,-2.429580145449293
P06,openpose,TO_Ankledorsiflexion,7.847740948886969,2.335095678308849,4.763484559417591,12.69104814824138
P06,openpose,TD_Kneeflexion,-1.3846465332183986,2.1076680149980738,-5.360095028705814,3.3864854414047727
P06,openpose,TO_Kneeflexion,35.567712686873286,5.8781324194126565,24.98614595414444,44.125407270486704
P06,openpose,TD_Kneeadduction,-4.123059335273143,4.54580184319394,-12.515204067118503,2.119392071050271
P06,openpose,TO_Kneeadduction,-10.513971840042837,5.616548737565891,-21.7234570758688,-3.94226532395848
P06,openpose,TD_Hipflexion,22.866740439295324,2.938239037833586,16.555606606962755,27.797078396519765
P06,openpose,TO_Hipflexion,-18.195011165198988,5.78438197040076,-28.997916018992186,-10.62244825893464
P07,openpose,TD_Ankledorsiflexion,-3.993058402699553,3.5721816383876237,-10.88142053105028,1.8564897709212147
P07,openpose,TO_Ankledorsiflexion,3.772763376156193,2.6499565599066908,-0.1963781589056026,7.734275463763254
P07,openpose,TD_Kneeflexion,3.369651461596732,2.679326566754644,0.0138086354459687,7.762870545815673
P07,openpose,TO_Kneeflexion,39.00373086941203,5.13657993164229,29.92110838892808,45.16249030858904
P07,openpose,TD_Kneeadduction,-1.3661320575707403,4.774767219678021,-12.319287295843251,4.5488326965251815
P07,openpose,TO_Kneeadduction,-5.41973460544173,4.911527296494031,-15.864086453115306,-1.073849025106881
P07,openpose,TD_Hipflexion,25.430954763596265,2.508228384607601,20.46744256369118,28.26819670128529
P07,openpose,TO_Hipflexion,-13.492534039174387,6.690827568712471,-25.520824803621338,-4.468584247501298
P09,openpose,TD_Ankledorsiflexion,-8.26124248103909,3.15295019784931,-12.019802745389685,-1.2238427046679303
P09,openpose,TO_Ankledorsiflexion,4.229040987388767,2.9678896600547207,-1.5914589909890822,7.675337215057766
P09,openpose,TD_Kneeflexion,5.783441840054327,4.573141582219981,-2.9436332872535047,12.360906490205965
P09,openpose,TO_Kneeflexion,31.715368422695303,4.062620679299738,26.12050052476718,38.136305649988856
P09,openpose,TD_Kneeadduction,0.1857821483026664,3.0949397001508414,-7.261401296195146,5.228317755286696
P09,openpose,TO_Kneeadduction,-3.5537777442740435,4.821078384008375,-14.68733656202656,3.244666930061925
P09,openpose,TD_Hipflexion,26.157459726498043,3.563049619566294,18.376504050831443,33.58594319516601
P09,openpose,TO_Hipflexion,-20.093024633450813,3.3946384447755102,-25.835033907055788,-15.401649342183958
P10,openpose,TD_Ankledorsiflexion,-5.701654905211189,4.173013031685088,-12.001019530457684,0.7548194069694034
P10,openpose,TO_Ankledorsiflexion,-0.0585225122369207,3.244958815301042,-3.183914587828369,6.881763284895683
P10,openpose,TD_Kneeflexion,-3.4060993643914466,2.290494801969386,-7.818968191923602,-0.5322805170365825
P10,openpose,TO_Kneeflexion,30.607862343171234,4.53896009482995,24.540739046043,41.26720026679638
