TD_Kneeadduction_1,TD_Kneeadduction_2,TD_Kneeadduction_3,TO_Kneeadduction_1,TO_Kneeadduction_2,TO_Kneeadduction_3,TD_Kneeadduction_4,TO_Kneeadduction_4,TD_Kneeflexion_1,TD_Hipflexion_1,TD_Ankledorsiflexion_1,TD_Kneeflexion_2,TD_Hipflexion_2,TD_Ankledorsiflexion_2,TD_Kneeflexion_3,TD_Hipflexion_3,TD_Ankledorsiflexion_3,TO_Kneeflexion_1,TO_Hipflexion_1,TO_Ankledorsiflexion_1,TO_Kneeflexion_2,TO_Hipflexion_2,TO_Ankledorsiflexion_2,TO_Kneeflexion_3,TO_Hipflexion_3,TO_Ankledorsiflexion_3,TD_Kneeflexion_4,TD_Hipflexion_4,TD_Ankledorsiflexion_4,TO_Kneeflexion_4,TO_Hipflexion_4,TO_Ankledorsiflexion_4
3.2722692023182844,5.193438766490516,4.179700981123091,-1.7120407280994243,-0.7048776128396241,-4.955102649198778,,,,,,,,,,,,,,,,,,,,,,,,,,
3.856706652279513,5.831253432834842,5.663148968533818,-2.890831565432705,-0.9351543777087556,-1.742631252672453,5.434085625837241,-5.496739237504983,,,,,,,,,,,,,,,,,,,,,,,,
2.7878661579588027,6.981006180179833,-0.2380918498420499,-3.4535449274694656,-1.7516855145543673,0.1662180711993528,6.83144550361888,-9.92936532597284,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,4.106160658399318,23.491601713329857,3.000672060076852,-0.1282291665100956,24.42153299905118,3.4083092896883755,-2.5332433057961623,25.72026182205161,2.287573773995589,26.647300576281367,-24.132074904905977,-11.644284390177177,22.816736464098284,-28.011765688366268,-12.009165103598406,31.12041698713452,-19.77110653393106,-9.989802903999689,,,,,,
,,,,,,,,0.1813876407198904,19.35250712339689,0.918821087104618,1.6503286123147802,23.941908924342272,4.284055109365923,-5.637268129222775,20.973865711048177,1.663840459360202,31.221689075166864,-25.384779971806157,-12.14820605812234,28.839563228362262,-26.62239099695753,-13.638934218966211,36.38838396555849,-15.98496543653158,-10.494875691248268,-2.676732587395861,28.9280718488055,3.2172793606672485,44.63571095249259,0.903040195140818,-6.9756002852811605
,,,,,,,,0.5784520011295342,18.07814537853386,-0.4096608669807295,-0.4767888870826482,24.055165090894175,3.206756051387657,-1.9105854720386617,21.777119224678927,1.339995617225895,29.809727795191804,-24.766775004817333,-10.0295460005848,24.16947030485511,-29.913493847265443,-12.235543481492982,33.33928219823321,-18.08920728022736,-6.95075465009667,-2.479660165213204,25.97037148297241,2.4688768651278394,51.475603474988304,1.638802855790118,-2.957242081428305
