TD_Kneeadduction_1,TD_Kneeadduction_2,TD_Kneeadduction_3,TO_Kneeadduction_1,TO_Kneeadduction_2,TO_Kneeadduction_3,TD_Kneeflexion_1,TD_Hipflexion_1,TD_Ankledorsiflexion_1,TD_Kneeflexion_2,TD_Hipflexion_2,TD_Ankledorsiflexion_2,TD_Kneeflexion_3,TD_Hipflexion_3,TD_Ankledorsiflexion_3,TO_Kneeflexion_1,TO_Hipflexion_1,TO_Ankledorsiflexion_1,TO_Kneeflexion_2,TO_Hipflexion_2,TO_Ankledorsiflexion_2,TO_Kneeflexion_3,TO_Hipflexion_3,TO_Ankledorsiflexion_3
-4.4039986895309085,2.859627406054841,6.591807919301118,-5.54992122366383,-5.182680463419018,-3.2154533626183195,,,,,,,,,,,,,,,,,,
-8.488267782791297,-5.053913753241005,1.5104194400058475,-10.245040031380569,1.3133576859905816,-6.757748009864116,,,,,,,,,,,,,,,,,,
-3.15118429980322,-6.73492669839888,3.257709406955257,-3.40078250046696,-1.9713500083679487,-7.075925582134317,,,,,,,,,,,,,,,,,,
,,,,,,4.588750658819095,23.65751718546616,-0.3670661803108288,4.10078863796403,22.05415082405329,-6.593155877074906,-4.159233055342014,20.07974764713813,-5.480178965248427,36.230708193472765,-14.494681040754044,-0.0499649949135374,49.91180625970975,-0.9727375879937769,2.9405965151925955,1.5017722594277243,21.27532800783752,-5.498535909730904
,,,,,,12.659864213624957,24.27832614297733,-2.7842116683491867,-1.5608342117830034,116.25953313197728,-86.81921494533044,-2.578782900942457,19.77248792758499,-0.7052930690117591,36.54885137126516,-40.90421154609939,4.273683369241155,39.99974236651781,-10.97063518673474,-0.2982084196942764,40.24245832777712,-9.378446447523087,-0.6296563940655489
,,,,,,6.656048450419149,23.75440755355362,0.2143112589678111,3.867563398791418,-8.854224763157788,-3.956877218132192,-3.632667117690119,17.89513220350645,-0.7826000149990762,38.974678933172186,-40.23924088923764,-3.958281941011819,45.333373547265154,-7.503594100975249,1.5291762434251126,50.53781228787077,5.497163091416326,1.5817046189648494
