video_name,frame,person_idx,nose_x,nose_y,nose_c,neck_x,neck_y,neck_c,right_shoulder_x,right_shoulder_y,right_shoulder_c,right_elbow_x,right_elbow_y,right_elbow_c,right_wrist_x,right_wrist_y,right_wrist_c,left_shoulder_x,left_shoulder_y,left_shoulder_c,left_elbow_x,left_elbow_y,left_elbow_c,left_wrist_x,left_wrist_y,left_wrist_c,mid_hip_x,mid_hip_y,mid_hip_c,right_hip_x,right_hip_y,right_hip_c,right_knee_x,right_knee_y,right_knee_c,right_ankle_x,right_ankle_y,right_ankle_c,left_hip_x,left_hip_y,left_hip_c,left_knee_x,left_knee_y,left_knee_c,left_ankle_x,left_ankle_y,left_ankle_c,right_eye_x,right_eye_y,right_eye_c,left_eye_x,left_eye_y,left_eye_c,right_ear_x,right_ear_y,right_ear_c,left_ear_x,left_ear_y,left_ear_c,left_big_toe_x,left_big_toe_y,left_big_toe_c,left_small_toe_x,left_small_toe_y,left_small_toe_c,left_heel_x,left_heel_y,left_heel_c,right_big_toe_x,right_big_toe_y,right_big_toe_c,right_small_toe_x,right_small_toe_y,right_small_toe_c,right_heel_x,right_heel_y,right_heel_c
P14_Med_Front_2,4,1,1870.42,526.95,0.293435,1899.24,543.721,0.884743,1907.51,543.645,0.865853,1903.55,576.581,0.24123,1899.18,581.094,0.0842439,1890.86,543.789,0.86261,1886.73,576.795,0.755035,1861.88,605.713,0.674758,1899.19,601.656,0.815994,1903.34,601.668,0.793005,1874.38,639.014,0.768503,1874.36,680.429,0.67603,1890.94,601.684,0.807697,1870.25,638.903,0.85912,1874.34,684.604,0.803908,0.0,0.0,0.0,1874.37,522.918,0.341412,1903.45,518.857,0.134324,1886.76,522.875,0.730489,1870.04,696.936,0.607041,1870.14,701.086,0.642783,1878.46,696.949,0.664493,1853.68,680.422,0.332691,1861.88,680.446,0.348583,1874.43,684.491,0.499724
P14_Med_Front_2,4,2,1372.51,481.409,0.466614,1368.61,502.141,0.831226,1364.38,502.198,0.802418,1343.94,514.818,0.677083,1347.83,539.396,0.570577,1372.71,502.101,0.794498,1372.82,518.869,0.541008,1372.76,543.358,0.454471,1368.54,547.618,0.879167,1364.49,547.592,0.868601,1364.39,580.851,0.82653,1360.33,613.909,0.790102,1368.63,547.607,0.884088,1368.63,580.833,0.794659,1368.42,613.932,0.796551,1368.64,477.419,0.42677,1372.59,477.439,0.373744,1368.48,481.252,0.471541,1372.59,481.278,0.349657,1364.45,618.314,0.530475,1368.56,618.171,0.547169,1364.45,614.145,0.673564,1356.12,618.188,0.553741,1356.11,614.265,0.563118,1356.17,614.214,0.653636
P14_Med_Front_2,5,0,1783.29,543.584,0.718025,1791.49,552.069,0.803213,1774.8,548.003,0.900341,1754.14,576.606,0.755766,1762.44,576.894,0.658431,1807.9,560.177,0.861597,1807.97,581.109,0.812634,1783.27,581.005,0.588025,1774.97,601.7,0.655094,1770.65,597.49,0.635252,1737.64,605.698,0.338583,1737.46,651.329,0.213874,1787.32,605.829,0.630391,1774.84,614.052,0.269385,1750.1,651.498,0.187396,1783.23,543.362,0.594591,1795.61,543.458,0.724004,1783.21,543.562,0.225666,1803.85,543.634,0.751329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1741.51,663.923,0.135571,1737.49,667.965,0.141718,1733.4,655.599,0.178629
P14_Med_Front_2,5,1,1372.55,481.463,0.502394,1372.47,502.115,0.831781,1356.22,502.171,0.790341,1343.76,514.716,0.765085,1343.84,539.355,0.65078,1376.75,502.085,0.81702,1377.01,518.735,0.632027,1376.87,539.508,0.54516,1368.63,547.561,0.891591,1364.36,547.541,0.859778,1356.2,580.778,0.810718,1356.22,613.87,0.78769,1372.71,547.547,0.913371,1372.62,580.811,0.800041,1368.47,613.909,0.807965,1372.47,481.248,0.469995,1372.65,481.267,0.423941,1368.47,481.295,0.456012,1372.76,481.269,0.35385,1360.35,622.32,0.550744,1368.56,618.291,0.56357,1364.47,614.132,0.677481,1352.01,618.187,0.57726,1348.01,614.274,0.584709,1352.09,614.188,0.651119
P14_Med_Front_2,5,2,1870.45,526.996,0.330605,1899.19,543.761,0.881017,1907.42,543.675,0.873119,1903.38,576.607,0.269468,1895.06,581.1,0.0950437,1890.88,547.573,0.860606,1890.9,576.786,0.705202,1861.83,605.692,0.597508,1899.09,601.619,0.810697,1903.21,601.621,0.790806,1874.21,638.93,0.752368,1874.28,680.454,0.659836,1890.87,601.667,0.810615,1870.1,634.848,0.82853,1870.34,680.599,0.735771,0.0,0.0,0.0,1874.42,522.944,0.381147,1903.39,522.829,0.118468,1886.83,522.907,0.725445,1866.03,692.776,0.554351,1870.07,696.923,0.572483,1874.37,688.762,0.603172,1849.51,680.38,0.344855,1857.77,680.445,0.35487,1874.35,684.564,0.505336
P14_Med_Front_2,6,0,1787.26,543.595,0.731081,1791.47,555.958,0.808008,1774.75,548.008,0.904916,1754.15,576.645,0.770925,1762.44,576.928,0.666928,1807.89,560.17,0.867623,1808.15,581.12,0.812195,1795.63,585.07,0.592454,1775.0,605.665,0.715044,1770.67,601.557,0.692303,1737.71,605.796,0.425641,1737.46,651.444,0.274642,1791.46,609.675,0.688611,1778.99,614.205,0.346988,0.0,0.0,0.0,1783.23,543.385,0.63882,1795.63,543.48,0.732867,1783.22,543.508,0.287055,1803.85,543.646,0.71806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1737.54,668.001,0.19862,1737.47,672.029,0.201769,1733.42,659.66,0.230852
P14_Med_Front_2,6,1,1372.54,481.469,0.612446,1372.47,502.15,0.850458,1352.09,506.104,0.814153,1343.71,514.785,0.823904,1343.68,539.427,0.687322,1376.84,502.077,0.84835,1381.01,518.713,0.682382,1377.09,539.523,0.593809,1372.48,547.537,0.918759,1360.33,543.768,0.876957,1356.11,580.752,0.820047,1356.18,610.108,0.79022,1372.85,547.527,0.939144,1372.72,580.833,0.82867,1368.65,613.939,0.834123,1368.62,481.258,0.573637,1372.66,481.283,0.539517,1364.5,481.35,0.493209,1372.83,481.321,0.430017,1364.43,622.371,0.579743,1372.55,618.343,0.602782,1368.55,614.149,0.70338,1347.97,618.137,0.605768,1347.91,614.249,0.612078,1352.1,614.128,0.650853
P14_Med_Front_2,6,2,1870.26,526.987,0.254429,1899.1,543.73,0.865694,1907.38,543.659,0.868686,1903.45,576.563,0.252405,1899.14,581.071,0.0864489,1882.65,543.786,0.858594,1870.28,576.867,0.682247,1849.44,605.618,0.564978,1895.11,601.69,0.804247,1903.2,601.69,0.787938,1874.34,638.971,0.760317,1874.46,680.392,0.714828,1886.74,605.628,0.806487,1870.07,638.772,0.810897,1870.2,680.438,0.744936,0.0,0.0,0.0,1870.3,522.988,0.289264,1903.29,522.777,0.137746,1882.61,522.883,0.701405,1857.79,684.586,0.553425,1857.78,684.597,0.563517,1870.33,684.615,0.610767,1857.82,680.524,0.356291,1866.07,680.541,0.374776,1874.51,684.522,0.547433
P14_Med_Front_2,7,0,1783.24,543.601,0.72713,1791.44,552.063,0.807008,1774.73,551.792,0.897698,1754.19,576.658,0.753852,1766.41,580.715,0.650352,1807.86,560.127,0.86118,1808.09,581.115,0.808146,1791.52,585.045,0.554922,1775.02,605.656,0.706899,1770.68,601.549,0.688575,1741.53,609.768,0.421192,1737.5,655.502,0.267138,1795.54,609.67,0.682045,1774.87,614.172,0.315432,0.0,0.0,0.0,1783.16,543.377,0.628375,1795.56,543.471,0.72097,1783.13,543.515,0.266864,1803.81,543.63,0.708931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1737.47,676.139,0.175576,1737.43,676.088,0.184389,1737.46,663.775,0.224367
P14_Med_Front_2,7,1,1874.4,527.006,0.332925,1899.22,547.572,0.884099,1907.48,543.745,0.857694,1903.37,576.702,0.256391,1895.07,585.127,0.093999,1890.9,547.62,0.86936,1886.75,576.805,0.732369,1861.92,605.71,0.66646,1899.1,601.673,0.812866,1903.21,601.661,0.789806,1874.3,642.849,0.781801,1874.38,680.363,0.697992,1890.91,605.626,0.807981,1870.25,638.882,0.849009,1874.4,680.608,0.77921,0.0,0.0,0.0,1874.49,526.944,0.388919,1903.43,522.942,0.104407,1890.87,526.941,0.726542,1870.06,692.805,0.602022,1870.17,696.921,0.623613,1878.52,688.775,0.643328,1853.61,680.363,0.363718,1857.81,680.372,0.377773,1874.41,680.567,0.526191
P14_Med_Front_2,7,2,1368.48,481.334,0.228037,1368.65,506.092,0.754499,1372.72,506.129,0.7461,1368.66,518.698,0.447003,1364.45,539.38,0.310821,1364.37,502.189,0.684897,1356.2,518.809,0.481197,1356.08,539.361,0.345978,1368.59,547.555,0.811709,1372.56,547.557,0.798554,1368.66,580.797,0.748683,1368.41,613.856,0.717485,1364.47,543.777,0.774537,1364.41,580.791,0.701461,1364.36,613.905,0.674643,1368.55,477.225,0.16556,1364.49,477.265,0.19571,1372.63,481.27,0.290852,1368.45,481.361,0.376037,1360.33,618.229,0.432157,1364.5,618.13,0.433291,1364.37,614.196,0.580449,1360.27,618.182,0.430965,1364.41,614.221,0.447908,1360.34,614.263,0.554399
P14_Med_Front_2,8,0,1787.28,543.637,0.708605,1787.36,555.977,0.792726,1774.69,547.997,0.891769,1754.1,576.632,0.73952,1766.44,576.922,0.63333,1807.87,560.188,0.852047,1808.15,581.146,0.797612,0.0,0.0,0.0,1774.9,605.66,0.683802,1770.56,601.535,0.645397,1741.57,609.833,0.368615,1737.45,659.611,0.233305,1787.29,609.683,0.655256,1774.87,614.174,0.314858,0.0,0.0,0.0,1783.23,543.415,0.623552,1795.64,543.521,0.710748,1783.18,543.537,0.300303,1803.88,543.673,0.676739,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1737.54,672.178,0.149866,1737.47,676.1,0.160691,1737.48,667.922,0.204172
P14_Med_Front_2,8,1,1870.39,527.003,0.283346,1899.16,547.631,0.888381,1907.51,547.609,0.870144,1903.42,576.833,0.270745,1895.0,589.242,0.0940306,1882.7,547.647,0.874916,1874.39,576.943,0.726554,1857.78,605.732,0.677618,1899.12,605.64,0.831339,1903.3,605.646,0.803804,1874.43,642.886,0.793772,1878.52,680.437,0.694047,1886.85,605.686,0.823199,1870.24,638.938,0.841321,1874.43,680.615,0.742829,0.0,0.0,0.0,1874.39,522.984,0.331583,1903.35,526.929,0.147751,1886.75,526.972,0.724452,1870.1,692.786,0.59258,1870.16,692.893,0.594411,1878.55,688.775,0.61516,1857.78,680.461,0.371473,1861.99,680.462,0.38583,1878.56,684.513,0.533092
P14_Med_Front_2,8,2,1368.62,481.288,0.346351,1368.63,502.094,0.818211,1368.58,502.149,0.780914,1356.14,518.68,0.561014,1352.07,539.374,0.423359,1368.65,502.06,0.753212,1368.64,518.851,0.502276,1372.59,539.445,0.397276,1368.42,547.617,0.840607,1368.43,547.592,0.834494,1364.38,580.972,0.774253,1360.27,614.131,0.71174,1364.47,547.598,0.825898,1364.44,580.986,0.740714,1364.33,614.211,0.705195,1368.55,477.281,0.281853,1368.66,477.3,0.279437,1368.65,477.436,0.401826,1368.62,481.209,0.380241,1360.33,626.503,0.465755,1368.43,622.383,0.477807,1360.32,618.312,0.58815,1352.04,622.373,0.47337,1356.11,618.347,0.478374,1356.09,618.311,0.580485
P14_Med_Front_2,9,0,1787.33,543.72,0.66473,1787.38,556.022,0.785404,1774.73,551.849,0.869217,1754.21,576.667,0.711064,1766.5,580.722,0.609264,1807.79,560.222,0.840511,1808.07,581.145,0.757119,0.0,0.0,0.0,1774.92,605.723,0.645953,1770.62,601.627,0.617584,1741.82,609.87,0.290582,1741.73,659.607,0.183857,1783.27,609.716,0.619363,1779.12,618.156,0.260848,0.0,0.0,0.0,1783.28,543.5,0.571673,1795.65,543.605,0.664303,1783.25,543.632,0.297675,1803.84,543.733,0.647091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1745.78,672.097,0.12889,1741.71,672.103,0.135424,1745.88,671.974,0.16367
P14_Med_Front_2,9,1,1874.46,527.07,0.344569,1903.19,547.628,0.905803,1907.61,547.585,0.859361,1903.4,576.833,0.268302,1895.03,589.256,0.0952541,1890.88,547.674,0.875344,1882.64,576.867,0.756902,1861.85,605.717,0.704676,1899.18,605.63,0.837137,1903.34,605.637,0.812512,1874.49,638.997,0.764625,1878.57,680.412,0.684084,1890.89,605.659,0.827939,1870.27,638.894,0.848846,1874.49,684.509,0.775915,0.0,0.0,0.0,1874.57,527.012,0.416012,1903.51,526.961,0.123345,1890.98,527.005,0.748195,1870.08,692.817,0.598175,1870.18,696.98,0.610586,1878.59,692.814,0.648515,1857.82,680.411,0.361482,1866.02,680.453,0.373712,1882.64,684.48,0.52167
P14_Med_Front_2,9,2,1368.49,481.31,0.546607,1368.58,502.02,0.834614,1351.99,502.067,0.806188,1343.62,514.729,0.762183,1343.58,539.428,0.62272,1376.76,498.012,0.855322,1377.08,518.693,0.687716,1376.98,539.434,0.604661,1368.56,547.616,0.888965,1360.21,547.578,0.861112,1356.09,580.991,0.787876,1356.2,618.136,0.726506,1372.71,547.628,0.919369,1372.52,581.091,0.788358,1364.5,618.193,0.746608,1364.45,477.368,0.481797,1368.62,477.378,0.495838,1364.33,477.413,0.407949,1372.65,477.374,0.474125,1356.2,634.803,0.531763,1368.49,630.726,0.536832,1364.38,622.373,0.618351,1347.99,626.519,0.494667,1351.95,626.451,0.502078,1352.04,622.387,0.605468
P14_Med_Front_2,10,0,1791.44,543.707,0.684288,1787.36,556.025,0.80973,1774.65,551.859,0.890261,1758.27,576.694,0.75885,1766.64,580.719,0.669782,1807.74,560.166,0.849477,1808.07,581.134,0.759058,0.0,0.0,0.0,1774.96,605.695,0.693089,1770.63,601.616,0.678055,1745.97,609.991,0.299924,1745.89,655.493,0.17824,1791.4,609.678,0.655864,0.0,0.0,0.0,0.0,0.0,0.0,1787.32,543.51,0.633325,1799.65,543.586,0.676881,1783.21,543.6,0.422994,1803.83,543.712,0.592204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1741.76,663.878,0.102652,1741.72,667.999,0.110134,1750.05,668.02,0.153824
P14_Med_Front_2,10,1,1874.55,531.097,0.391628,1903.2,547.617,0.898677,1907.54,543.767,0.844904,1903.37,576.7,0.289108,1899.09,585.093,0.0986164,1894.98,547.691,0.873259,1882.67,576.801,0.80422,1861.87,605.726,0.772667,1899.07,601.701,0.823229,1903.2,605.625,0.814376,1878.44,643.01,0.816281,1882.65,680.569,0.71172,1890.88,605.624,0.818418,1870.26,642.858,0.863361,1874.4,684.578,0.780467,0.0,0.0,0.0,1878.57,527.048,0.467531,1903.52,531.146,0.0961924,1895.12,531.082,0.754732,1870.1,692.869,0.612885,1870.2,697.018,0.626479,1878.5,692.837,0.658529,1866.03,684.539,0.368737,1870.19,684.468,0.387374,1882.71,684.656,0.551868
P14_Med_Front_2,10,2,0.0,0.0,0.0,1368.58,502.086,0.822344,1376.83,502.138,0.850623,1381.04,518.726,0.65368,1381.02,543.347,0.402362,1347.87,498.003,0.803674,1343.64,518.76,0.616791,1339.74,539.464,0.394405,1368.47,547.537,0.897926,1372.77,547.601,0.917934,1372.57,581.115,0.809668,1364.47,618.128,0.743967,1352.0,543.74,0.874413,1352.01,581.064,0.779631,1351.95,618.185,0.715921,0.0,0.0,0.0,0.0,0.0,0.0,1372.81,481.216,0.440322,1356.16,481.207,0.386657,1356.16,630.615,0.373436,1360.25,622.465,0.375404,1347.99,626.471,0.57429,1368.61,634.706,0.421728,1372.53,626.464,0.443039,1356.21,626.531,0.620805
P14_Med_Front_2,11,0,1368.51,481.215,0.733922,1368.65,493.927,0.858928,1347.86,497.954,0.850762,1339.66,514.673,0.895137,1339.58,539.506,0.76836,1377.04,493.826,0.874228,1385.2,514.771,0.782468,1377.1,539.467,0.702543,1368.59,547.576,0.93168,1352.05,547.536,0.905969,1347.92,580.999,0.859591,1351.98,618.168,0.785803,1376.67,547.604,0.981961,1372.61,581.115,0.831156,1368.44,618.229,0.791848,1364.39,477.289,0.675511,1372.53,477.262,0.714932,1360.23,477.358,0.492054,1372.81,477.247,0.596862,1356.17,638.883,0.609958,1368.57,634.832,0.621311,1364.4,622.373,0.638699,1347.87,630.67,0.604674,1343.89,626.577,0.610586,1347.97,622.397,0.655354
P14_Med_Front_2,11,1,1791.52,543.678,0.659149,1795.49,555.961,0.787178,1774.76,551.818,0.859215,1758.31,576.63,0.726199,1766.59,576.952,0.626304,1807.82,560.148,0.839938,1808.18,581.11,0.725229,0.0,0.0,0.0,1774.96,605.639,0.662236,1770.63,597.552,0.650842,1741.78,609.92,0.309629,1737.53,651.513,0.198566,1791.42,605.849,0.630073,1779.15,614.175,0.23555,0.0,0.0,0.0,1791.42,543.449,0.575676,1799.73,543.56,0.667408,1787.37,543.592,0.303249,1803.92,543.689,0.620439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1737.44,672.018,0.119241,1737.38,672.077,0.129071,1737.45,663.829,0.166835
