video_name,frame,person_idx,nose_x,nose_y,nose_c,neck_x,neck_y,neck_c,right_shoulder_x,right_shoulder_y,right_shoulder_c,right_elbow_x,right_elbow_y,right_elbow_c,right_wrist_x,right_wrist_y,right_wrist_c,left_shoulder_x,left_shoulder_y,left_shoulder_c,left_elbow_x,left_elbow_y,left_elbow_c,left_wrist_x,left_wrist_y,left_wrist_c,mid_hip_x,mid_hip_y,mid_hip_c,right_hip_x,right_hip_y,right_hip_c,right_knee_x,right_knee_y,right_knee_c,right_ankle_x,right_ankle_y,right_ankle_c,left_hip_x,left_hip_y,left_hip_c,left_knee_x,left_knee_y,left_knee_c,left_ankle_x,left_ankle_y,left_ankle_c,right_eye_x,right_eye_y,right_eye_c,left_eye_x,left_eye_y,left_eye_c,right_ear_x,right_ear_y,right_ear_c,left_ear_x,left_ear_y,left_ear_c,left_big_toe_x,left_big_toe_y,left_big_toe_c,left_small_toe_x,left_small_toe_y,left_small_toe_c,left_heel_x,left_heel_y,left_heel_c,right_big_toe_x,right_big_toe_y,right_big_toe_c,right_small_toe_x,right_small_toe_y,right_small_toe_c,right_heel_x,right_heel_y,right_heel_c,person_height
P12_Med_Side_2,125,0,647.344,647.311,0.845105,614.185,709.348,0.984318,593.296,709.468,0.911363,556.046,775.629,0.909082,522.858,821.445,0.878198,643.167,709.44,0.932876,680.274,755.0,0.907439,742.601,779.782,0.906143,614.255,841.905,0.89153,610.021,842.005,0.875163,659.621,937.41,0.832017,713.372,1020.38,0.912009,630.624,841.901,0.814561,576.918,916.754,0.906223,535.256,1012.14,0.880225,643.16,643.18,0.830657,647.229,643.167,0.140187,618.37,647.326,0.865938,0.0,0.0,0.0,572.606,1041.0,0.785258,568.405,1032.78,0.714218,514.578,1016.34,0.812167,754.982,1007.99,0.841554,746.785,1016.34,0.877861,709.527,1040.98,0.858177,333.29344055951657
P12_Med_Side_2,126,0,655.516,647.213,0.798048,626.546,709.402,0.929783,605.705,709.464,0.93415,572.459,775.827,0.926413,531.191,825.504,0.852364,651.457,709.405,0.890814,688.791,759.234,0.847805,746.827,779.765,0.927543,618.273,841.953,0.881006,610.074,841.984,0.88295,671.991,933.205,0.764923,717.71,1024.53,0.820955,638.838,841.976,0.829031,581.024,920.915,0.815154,539.293,1012.06,0.842527,647.284,643.052,0.809399,651.471,643.087,0.114967,630.633,647.284,0.836146,0.0,0.0,0.0,572.559,1040.99,0.734465,568.408,1036.77,0.667745,514.751,1016.2,0.775526,759.2,1012.03,0.727206,750.958,1020.43,0.749291,713.794,1041.07,0.801798,334.3825718858564
P12_Med_Side_2,127,0,667.906,647.112,0.819122,638.907,709.42,0.962675,609.803,709.542,0.953464,576.712,775.88,0.961847,543.544,829.584,0.937043,663.848,709.377,0.864328,701.099,763.24,0.847351,755.0,779.76,0.875578,638.817,841.875,0.864296,622.297,841.917,0.83303,676.348,933.326,0.857628,717.87,1020.42,0.861234,643.211,841.866,0.850925,589.185,920.851,0.829361,539.498,1011.92,0.923989,651.472,642.948,0.805625,667.903,643.091,0.110659,638.856,647.231,0.864566,0.0,0.0,0.0,572.676,1040.92,0.798119,568.41,1032.75,0.714468,518.757,1012.17,0.85227,767.365,1012.13,0.773397,755.083,1024.56,0.795282,717.706,1041.07,0.857108,329.1255191761951
P12_Med_Side_2,128,0,676.172,647.369,0.857034,643.13,709.416,1.00531,614.145,709.612,0.949148,581.023,779.758,0.972131,547.788,837.8,0.933397,672.013,709.407,0.87847,705.316,763.278,0.872647,759.178,779.806,0.85235,643.125,841.909,0.895079,638.879,842.012,0.822776,684.484,937.32,0.868505,726.041,1024.47,0.844694,647.353,841.883,0.823144,601.572,920.925,0.818911,543.461,1008.03,0.933225,663.87,643.21,0.807451,676.08,643.17,0.161073,643.039,647.455,0.871078,0.0,0.0,0.0,576.549,1040.9,0.811725,568.44,1032.71,0.725111,522.839,1012.0,0.837783,775.572,1016.14,0.803462,767.371,1032.76,0.812666,717.86,1041.08,0.833052,334.1500785275982
P12_Med_Side_2,129,0,680.377,647.259,0.734927,647.431,709.458,0.964794,630.586,709.603,0.903789,589.188,779.753,0.931209,564.279,837.76,0.862895,676.332,709.446,0.915735,709.341,763.32,0.881974,767.466,779.724,0.832357,647.302,842.238,0.886886,643.012,846.104,0.863237,692.776,933.288,0.529387,734.18,1028.6,0.447287,663.748,842.216,0.794373,692.886,933.218,0.522715,730.191,1020.35,0.522121,676.21,643.154,0.725504,676.32,643.226,0.0772119,655.472,647.367,0.841333,0.0,0.0,0.0,779.865,1028.61,0.43008,775.663,1020.42,0.381264,717.782,1041.1,0.445911,775.624,1028.66,0.467143,763.289,1040.95,0.468723,721.957,1041.05,0.471678,335.3964860355576
P12_Med_Side_2,130,0,696.926,651.35,0.665887,659.724,709.486,0.916748,638.948,713.368,0.94756,609.672,779.768,0.92058,576.799,829.673,0.914254,680.613,709.397,0.899683,713.387,763.368,0.90087,779.807,779.791,0.906731,651.354,842.187,0.863995,647.156,846.079,0.859972,705.33,937.329,0.802714,738.378,1028.69,0.807458,663.874,842.134,0.783952,614.054,937.286,0.804801,547.635,1007.72,0.868893,684.47,647.114,0.703875,701.123,647.16,0.0850831,667.931,651.336,0.809499,0.0,0.0,0.0,572.603,1040.95,0.736582,568.399,1032.82,0.668104,535.228,1007.79,0.825464,775.573,1028.6,0.749531,767.492,1040.89,0.808257,730.115,1041.1,0.75094,330.62711410893087
P12_Med_Side_2,131,0,709.196,659.733,0.563799,672.163,709.532,0.959668,643.195,713.432,0.96016,613.921,779.812,0.94253,581.123,833.8,0.901082,692.91,709.485,0.872637,717.673,767.472,0.868736,779.824,779.847,0.912514,663.784,842.193,0.851959,651.412,842.231,0.845267,713.421,937.385,0.875677,738.435,1032.75,0.853305,676.176,842.103,0.819468,630.726,937.367,0.804987,551.878,999.637,0.84448,692.884,647.415,0.560217,709.493,655.602,0.105673,676.181,651.413,0.796187,0.0,0.0,0.0,576.607,1041.07,0.809145,568.517,1036.89,0.734656,543.401,999.68,0.819513,775.664,1032.75,0.79484,771.498,1041.03,0.85606,730.104,1041.18,0.776399,333.2186110108497
P12_Med_Side_2,132,0,709.617,651.452,0.623731,676.291,709.423,0.987316,651.337,709.559,0.925286,618.241,779.918,0.921083,601.626,841.91,0.913143,696.91,709.426,0.841717,721.786,771.561,0.866582,784.001,780.078,0.925418,672.063,842.098,0.861388,663.846,842.192,0.811252,713.723,937.317,0.869154,738.501,1032.76,0.876215,676.377,841.994,0.798545,647.296,929.148,0.851806,568.511,991.377,0.829307,709.163,647.159,0.594952,713.534,647.366,0.12952,680.406,647.433,0.789658,0.0,0.0,0.0,576.799,1040.99,0.817317,576.643,1036.81,0.772349,547.77,991.256,0.819827,775.823,1036.87,0.866142,771.517,1041.18,0.921968,730.095,1041.22,0.808778,334.7483372580064
P12_Med_Side_2,133,0,713.596,651.346,0.598527,680.612,709.268,0.952752,663.831,709.393,0.886446,642.868,779.823,0.941721,613.945,841.972,0.973337,709.418,709.224,0.877268,725.947,771.429,0.83509,780.052,788.11,0.890611,680.46,841.986,0.876131,676.395,842.052,0.87304,721.805,937.338,0.816238,738.515,1032.75,0.871765,692.802,841.974,0.767518,667.857,937.285,0.824294,576.894,987.159,0.892915,709.447,647.11,0.59131,717.687,647.218,0.1582,684.642,647.326,0.771835,0.0,0.0,0.0,576.904,1036.95,0.750569,580.766,1032.69,0.737136,560.226,983.077,0.791544,775.807,1036.9,0.867138,767.502,1041.2,0.899901,730.091,1041.15,0.812229,331.86962696968817
P12_Med_Side_2,134,0,717.681,647.322,0.646983,684.529,709.252,0.928359,672.166,709.377,0.928231,647.065,775.91,0.950781,626.579,842.113,0.894469,709.271,705.339,0.850232,730.19,767.507,0.814503,783.978,788.189,0.857975,688.624,841.952,0.831171,680.41,842.034,0.880955,734.19,920.79,0.788753,742.335,1032.72,0.857698,705.293,837.985,0.787833,680.406,929.201,0.833696,589.142,982.95,0.853244,713.475,643.151,0.679807,717.837,647.224,0.0865976,692.873,647.205,0.816692,0.0,0.0,0.0,585.112,1028.56,0.665788,581.052,1016.27,0.693013,576.613,978.919,0.832612,775.83,1036.94,0.843734,771.442,1041.22,0.880512,726.066,1041.12,0.808118,330.8691345683366
P12_Med_Side_2,135,0,730.169,659.702,0.399962,688.793,709.211,0.879863,680.223,709.396,0.957938,655.584,775.823,0.877378,647.077,842.217,0.981661,709.41,705.142,0.842341,738.419,767.431,0.848645,784.064,792.288,0.885151,705.167,838.005,0.837415,688.637,841.902,0.841946,738.331,925.05,0.80021,738.516,1032.72,0.866356,713.414,837.953,0.832708,688.659,920.891,0.830402,609.71,978.952,0.911737,717.767,647.349,0.445247,0.0,0.0,0.0,709.246,647.469,0.749133,0.0,0.0,0.0,605.73,1028.65,0.721638,605.734,1020.35,0.723559,585.148,978.712,0.822465,775.881,1040.84,0.874518,767.486,1045.08,0.915349,726.032,1041.13,0.832948,328.53688198587395
P12_Med_Side_2,136,0,742.455,651.345,0.515194,705.199,705.231,0.873612,680.591,705.32,0.91237,676.099,775.727,0.913856,651.551,842.081,0.923937,713.562,701.151,0.851842,742.598,771.634,0.895544,788.184,804.627,0.844225,713.426,837.86,0.866973,705.241,837.977,0.846685,742.448,929.203,0.832012,738.457,1032.75,0.861592,721.849,837.847,0.783778,705.297,929.179,0.83441,614.179,978.981,0.916463,734.233,643.257,0.50206,0.0,0.0,0.0,709.53,647.254,0.757859,692.819,643.148,0.105435,614.211,1028.68,0.755339,618.155,1016.32,0.774425,605.654,974.896,0.823186,775.892,1040.91,0.889108,767.403,1045.15,0.891699,725.965,1041.12,0.808515,332.5039531434175
P12_Med_Side_2,137,0,750.991,663.883,0.349171,709.566,709.176,0.929925,692.857,709.233,0.873061,680.253,775.737,0.933977,676.296,842.067,0.959766,721.845,705.296,0.837958,746.563,771.653,0.896017,784.198,808.794,0.865997,713.761,833.768,0.831816,709.419,837.793,0.864771,742.411,933.233,0.833295,738.466,1032.68,0.842593,734.287,833.69,0.774499,713.617,937.352,0.857341,634.748,978.971,0.871742,742.741,647.441,0.342227,0.0,0.0,0.0,734.211,651.347,0.662505,0.0,0.0,0.0,643.057,1028.69,0.759239,643.082,1016.34,0.773932,614.113,974.923,0.826637,779.759,1040.95,0.89482,767.522,1045.14,0.892151,725.934,1041.07,0.806555,326.64681643940764
P12_Med_Side_2,138,0,751.015,643.259,0.668156,713.693,701.179,0.890073,705.229,705.258,0.892103,688.654,775.7,0.884934,688.753,841.973,0.908075,734.35,696.933,0.810097,746.753,771.584,0.887659,780.107,809.037,0.901238,726.037,837.872,0.806622,713.576,837.91,0.875467,742.501,937.299,0.873376,738.448,1032.68,0.844115,742.584,833.849,0.853123,738.393,937.361,0.806734,647.21,978.989,0.905086,746.805,642.846,0.665053,0.0,0.0,0.0,730.166,643.136,0.784934,0.0,0.0,0.0,663.801,1036.85,0.726488,659.674,1020.43,0.682116,634.783,978.8,0.772685,775.821,1036.96,0.866133,767.51,1041.25,0.87347,721.915,1041.14,0.815484,329.10282290645887
P12_Med_Side_2,139,0,767.444,651.377,0.39235,717.815,701.044,0.841311,709.413,705.22,0.939956,705.316,775.668,0.899374,709.315,837.992,0.912954,738.459,688.794,0.824368,746.98,767.534,0.809275,779.941,808.739,0.905972,738.481,837.851,0.80749,721.862,837.874,0.795032,742.582,937.498,0.863343,742.321,1032.83,0.809865,746.693,833.861,0.832885,742.544,937.424,0.837787,663.783,979.111,0.787672,750.943,642.953,0.409815,0.0,0.0,0.0,742.466,643.071,0.704323,0.0,0.0,0.0,680.438,1032.79,0.666453,680.267,1020.3,0.631068,647.151,978.942,0.794542,779.765,1037.01,0.81929,771.597,1045.07,0.80608,725.979,1041.18,0.762733,329.2586347599709
