video_name,frame,person_idx,nose_x,nose_y,nose_c,left_eye_x,left_eye_y,left_eye_c,right_eye_x,right_eye_y,right_eye_c,left_ear_x,left_ear_y,left_ear_c,right_ear_x,right_ear_y,right_ear_c,left_shoulder_x,left_shoulder_y,left_shoulder_c,right_shoulder_x,right_shoulder_y,right_shoulder_c,left_elbow_x,left_elbow_y,left_elbow_c,right_elbow_x,right_elbow_y,right_elbow_c,left_wrist_x,left_wrist_y,left_wrist_c,right_wrist_x,right_wrist_y,right_wrist_c,left_hip_x,left_hip_y,left_hip_c,right_hip_x,right_hip_y,right_hip_c,left_knee_x,left_knee_y,left_knee_c,right_knee_x,right_knee_y,right_knee_c,left_ankle_x,left_ankle_y,left_ankle_c,right_ankle_x,right_ankle_y,right_ankle_c,head_top_x,head_top_y,head_top_c,neck_x,neck_y,neck_c,pelvis_x,pelvis_y,pelvis_c,left_big_toe_x,left_big_toe_y,left_big_toe_c,right_big_toe_x,right_big_toe_y,right_big_toe_c,left_small_toe_x,left_small_toe_y,left_small_toe_c,right_small_toe_x,right_small_toe_y,right_small_toe_c,left_heel_x,left_heel_y,left_heel_c,right_heel_x,right_heel_y,right_heel_c,person_height
P04_Med_Side_3,84,0,560.7607421875,634.4613037109375,0.9406481981277466,560.7607421875,625.6431274414062,0.903551995754242,556.3516235351562,625.6431274414062,0.931399941444397,525.4878540039062,630.05224609375,0.6200495958328247,529.89697265625,630.05224609375,0.875068724155426,547.5333862304688,687.37060546875,0.9086177349090576,490.2150268554688,687.37060546875,0.920927345752716,565.1698608398438,744.6890258789062,0.9284258484840392,476.9877014160156,757.9163208007812,0.9159380197525024,604.851806640625,797.5983276367188,0.9079221487045288,481.3967895507813,819.6438598632812,0.9375522136688232,547.5333862304688,824.0529174804688,0.8798225522041321,516.669677734375,824.0529174804688,0.8747161626815796,521.0787963867188,916.6441650390624,0.8711383938789368,560.7607421875,912.235107421875,0.8408892154693604,503.4423522949219,1013.64453125,0.8465203642845154,543.1243286132812,1013.64453125,0.8570975065231323,538.7152099609375,599.1884765625,0.8920720815658569,521.0787963867188,660.9159545898438,0.9193764925003052,529.89697265625,819.6438598632812,0.9409691095352172,538.7152099609375,1031.281005859375,0.5836336612701416,582.8062744140625,1035.6900634765625,0.8950507640838623,538.7152099609375,1031.281005859375,0.681496798992157,573.988037109375,1044.50830078125,0.8822388052940369,490.2150268554688,1031.281005859375,0.8791929483413696,534.3060913085938,1026.871826171875,0.7558805346488953,330.5360326155197
P04_Med_Side_3,85,0,566.956298828125,635.874267578125,0.9233688116073608,566.956298828125,627.0609741210938,0.8981416821479797,558.1430053710938,627.0609741210938,0.9068593978881836,527.2964477539062,631.4676513671875,0.6241463422775269,536.1097412109375,631.4676513671875,0.8752635717391968,558.1430053710938,688.7540893554688,0.9143790006637572,496.4498596191406,684.3474731445312,0.9108080863952636,575.7695922851562,741.6339111328125,0.8820356130599976,483.22991943359375,754.8538818359375,0.9128414392471312,615.429443359375,794.5137329101562,0.8795903921127319,483.22991943359375,820.9536743164062,0.9387750029563904,553.736328125,820.9536743164062,0.8427690267562866,522.8897705078125,825.3602905273438,0.8801590204238892,527.2964477539062,917.9000244140624,0.7823808193206787,566.956298828125,909.086669921875,0.8335168361663818,505.26318359375,1010.439697265625,0.6342712640762329,562.5496215820312,1014.8463134765624,0.6591686606407166,544.9230346679688,596.2144165039062,0.8933046460151672,531.7030639648438,662.314208984375,0.9126132130622864,540.5164184570312,820.9536743164062,0.9093744158744812,544.9230346679688,1032.472900390625,0.7496645450592041,606.6161499023438,1036.879638671875,0.8367414474487305,540.5164184570312,1028.0662841796875,0.7448843717575073,597.8028564453125,1041.2862548828125,0.8235312104225159,487.6365661621094,1028.0662841796875,0.8532940745353699,553.736328125,1028.0662841796875,0.7723367214202881,337.04400601756475
P04_Med_Side_3,86,0,573.4274291992188,635.2418823242188,0.9267281889915466,573.4274291992188,626.1961669921875,0.8986093997955322,568.904541015625,630.718994140625,0.904076099395752,532.7216186523438,630.718994140625,0.6351814866065979,550.8130493164062,635.2418823242188,0.8665609955787659,564.3816528320312,689.5162963867188,0.9403870701789856,505.58441162109375,689.5162963867188,0.9386134743690492,586.9959716796875,748.3135375976562,0.9027755260467528,487.4929504394531,761.8821411132812,0.9297897219657898,627.7017822265625,798.0650634765625,0.9300550818443298,482.9700927734375,825.2022094726562,0.8988540768623352,555.3359375,820.6793823242188,0.8530155420303345,532.7216186523438,825.2022094726562,0.8556737899780273,528.19873046875,924.7052612304688,0.7752288579940796,577.9502563476562,915.6595458984376,0.8162426948547363,501.0615539550781,1015.16259765625,0.678168535232544,586.9959716796875,1019.6854248046876,0.5955320000648499,550.8130493164062,603.5818481445312,0.9191707372665404,537.2445068359375,662.3790893554688,0.903764307498932,541.767333984375,820.6793823242188,0.9314031600952148,546.2902221679688,1037.77685546875,0.9290669560432434,632.2246704101562,1033.2540283203125,0.9927309155464172,541.767333984375,1033.2540283203125,0.9455090165138244,623.1788940429688,1037.77685546875,0.915076732635498,487.4929504394531,1033.2540283203125,0.8866899013519287,577.9502563476562,1037.77685546875,0.8678168058395386,340.0580766155323
P04_Med_Side_3,87,0,582.6686401367188,639.5158081054688,0.9312556982040404,582.6686401367188,630.4133911132812,0.8936591744422913,578.117431640625,630.4133911132812,0.922337293624878,546.259033203125,630.4133911132812,0.6397697329521179,555.3614501953125,634.964599609375,0.9155659675598145,573.5662841796875,689.5791015625,0.9416565895080566,509.849365234375,689.5791015625,0.9043980240821838,596.322265625,748.7448120117188,0.9057708978652954,491.64453125,762.3984375,0.9307421445846558,641.8343505859375,794.2568969726562,0.9313130974769592,487.0933227539063,830.66650390625,0.9337941408157348,564.4638671875,821.5641479492188,0.8736492395401001,537.1566162109375,826.1152954101562,0.9050320982933044,528.05419921875,921.690673828125,0.8002593517303467,587.2198486328125,917.1394653320312,0.890590488910675,500.7469482421875,1012.71484375,0.8367564678192139,605.4246826171875,1021.8172607421876,0.7491086721420288,559.9126586914062,603.106201171875,0.9365934729576112,546.259033203125,666.8230590820312,0.9308102130889891,550.8102416992188,817.012939453125,0.9299744367599488,555.3614501953125,1035.4708251953125,0.9543346762657166,650.936767578125,1026.368408203125,0.9472408890724182,546.259033203125,1030.919677734375,0.960499942302704,646.3855590820312,1035.4708251953125,0.9072064757347108,487.0933227539063,1030.919677734375,0.9026034474372864,600.8734741210938,1044.5732421875,0.907395362854004,345.7120705268082
P04_Med_Side_3,88,0,588.9937133789062,638.26513671875,0.9327370524406432,588.9937133789062,633.8314208984375,0.8921445608139038,584.5599365234375,633.8314208984375,0.9178719520568848,549.0899047851562,633.8314208984375,0.6384822130203247,566.824951171875,638.26513671875,0.8852031826972961,580.126220703125,691.4702758789062,0.9528629779815674,518.0535888671875,691.4702758789062,0.9088521599769592,606.728759765625,749.109130859375,0.91592276096344,495.8847961425781,757.9766235351562,0.94136780500412,655.5000610351562,793.4467163085938,0.9466318488121032,491.4510498046875,824.4829711914062,0.9016295075416564,566.824951171875,824.4829711914062,0.848869264125824,544.6561279296875,824.4829711914062,0.8728102445602417,531.3548583984375,922.025634765625,0.7115590572357178,593.427490234375,922.025634765625,0.8751217126846313,500.3185729980469,1015.1345825195312,0.7526839971542358,620.030029296875,1019.568359375,0.7140519022941589,566.824951171875,602.7951049804688,0.9079256057739258,553.523681640625,669.3014526367188,0.9297971725463868,557.9573974609375,820.0492553710938,0.9368628263473512,553.523681640625,1032.86962890625,0.8834622502326965,668.8013305664062,1019.568359375,0.9386129975318908,549.0899047851562,1032.86962890625,0.863824725151062,664.3676147460938,1024.0020751953125,0.9217666387557985,491.4510498046875,1028.435791015625,0.8516768217086792,620.030029296875,1041.7371826171875,0.8342810273170471,343.58048081420355
P04_Med_Side_3,89,0,598.9169311523438,643.366943359375,0.932593822479248,594.5933837890625,634.7198486328125,0.899582028388977,590.2698974609375,634.7198486328125,0.9203956723213196,555.681640625,639.0433959960938,0.6452253460884094,568.6522216796875,639.0433959960938,0.8929018974304199,585.9463500976562,690.92578125,0.94625324010849,525.4169311523438,695.249267578125,0.9015413522720336,620.5346069335938,751.4552001953125,0.9162397384643556,503.79925537109375,764.42578125,0.9315778613090516,668.0934448242188,794.6904907226562,0.9228615760803224,495.1521911621094,829.2787475585938,0.948948085308075,572.9757690429688,824.9552001953125,0.8972947001457214,551.3580932617188,829.2787475585938,0.8678905963897705,534.06396484375,924.3964233398438,0.876508891582489,598.9169311523438,920.0728759765624,0.8739154934883118,503.79925537109375,1010.8670654296876,0.861646294593811,642.1522216796875,1015.1905517578124,0.7585614919662476,572.9757690429688,608.7786865234375,0.9127786755561828,560.0051879882812,669.30810546875,0.9649505019187928,564.3286743164062,824.9552001953125,0.924758791923523,551.3580932617188,1036.8082275390625,0.909908890724182,689.7110595703125,1010.8670654296876,0.9176246523857116,547.0345458984375,1028.1611328125,0.8900008201599121,685.3875732421875,1019.5140991210938,0.9343492984771729,490.8286743164063,1028.1611328125,0.8741347789764404,642.1522216796875,1036.8082275390625,0.8822575211524963,340.57239080267624
P04_Med_Side_3,90,0,602.7013549804688,645.9813232421875,0.9112816452980042,602.7013549804688,637.4033813476562,0.9123537540435792,598.4124145507812,637.4033813476562,0.8950285911560059,564.1006469726562,637.4033813476562,0.6309971809387207,572.6785888671875,641.6923828125,0.8733125925064087,594.1234130859375,693.1600341796875,0.9611638784408568,534.0778198242188,697.448974609375,0.9247875213623048,624.146240234375,748.9166259765625,0.8709661364555359,508.343994140625,766.072509765625,0.9352287650108336,675.6138916015625,791.8063354492188,0.9185839891433716,499.76605224609375,830.4071044921875,0.9720447659492492,581.2565307617188,830.4071044921875,0.9063239693641664,559.8116455078125,830.4071044921875,0.9050293564796448,538.3668212890625,924.7644653320312,0.9062082171440125,606.9903564453125,924.7644653320312,0.9065597653388976,504.0550537109375,1010.5438842773438,0.9513527154922484,654.1690063476562,1014.8328247070312,0.841617226600647,581.2565307617188,607.380615234375,0.92336767911911,568.3895874023438,671.7151489257812,0.971900761127472,568.3895874023438,826.1181030273438,0.9476764798164368,555.522705078125,1036.2777099609375,0.927078366279602,705.6366577148438,1006.2548828125,0.9508901834487916,551.2337036132812,1031.98876953125,0.9022890329360962,701.3477172851562,1014.8328247070312,0.8820068836212158,491.1881103515625,1027.69970703125,0.9070199131965636,658.4580078125,1036.2777099609375,0.8837459087371826,339.3440752148453
P04_Med_Side_3,91,0,610.9661254882812,646.71484375,0.8984966278076172,610.9661254882812,638.2727661132812,0.9002432227134705,606.7450561523438,638.2727661132812,0.8912004232406616,568.7556762695312,642.4938354492188,0.6522184610366821,585.6398315429688,642.4938354492188,0.8780754804611206,602.5240478515625,693.1463623046875,0.9863068461418152,543.4293823242188,697.3673706054688,0.9110683798789978,632.0713500976562,752.240966796875,0.8882419466972351,513.882080078125,769.1251220703125,0.927035391330719,682.723876953125,790.2303466796875,0.9218411445617676,501.2189636230469,832.4407958984375,0.917444944381714,585.6398315429688,836.661865234375,0.8759939670562744,568.7556762695312,840.8828735351562,0.8912116289138794,539.2083740234375,925.3037719726562,0.8154372572898865,615.1871337890625,929.5247802734376,0.835570216178894,505.4400024414063,1013.9456787109376,0.7295857071876526,670.0607299804688,1013.9456787109376,0.7541845440864563,589.8609008789062,612.946533203125,0.9175540208816528,572.9767456054688,672.0411376953125,0.96489816904068,577.19775390625,836.661865234375,0.9089810848236084,556.092529296875,1035.0509033203125,0.9610335230827332,720.7132568359375,1001.2825317382812,0.8834662437438965,547.6504516601562,1030.829833984375,0.9106666445732116,716.4921875,1009.724609375,0.9105147123336792,488.5558471679688,1026.6087646484375,0.8863199949264526,674.2817993164062,1039.27197265625,0.8618367910385132,340.9652817695069
P04_Med_Side_3,92,0,618.8367919921875,646.1203002929688,0.9382524490356444,618.8367919921875,637.8045043945312,0.9036025404930116,614.6788940429688,637.8045043945312,0.8909499049186707,573.1001586914062,641.96240234375,0.6310415863990784,598.0474243164062,646.1203002929688,0.8685817122459412,606.3631591796875,696.0148315429688,0.9447298645973206,552.3107299804688,700.1726684570312,0.9080997705459596,639.6261596679688,750.0671997070312,0.8934540748596191,523.2056274414062,770.8566284179688,0.9003033638000488,693.6785888671875,791.64599609375,0.9290559887886048,506.5740966796875,833.2247924804688,0.9538556933403016,589.7316284179688,841.54052734375,0.8311347961425781,577.2579956054688,841.54052734375,0.9091588258743286,543.9949951171875,928.85595703125,0.903408944606781,622.9946899414062,928.85595703125,0.910011351108551,502.4162292480469,1012.0134887695312,0.9623470306396484,681.2049560546875,1016.17138671875,0.9130619764328004,598.0474243164062,608.6994018554688,0.9181268811225892,581.4158935546875,675.2254028320312,0.9511188864707948,585.5737915039062,837.3826293945312,0.9095874428749084,556.4686279296875,1036.9608154296875,0.9060298204421996,731.0994873046875,999.5398559570312,0.9046789407730104,548.1528930664062,1032.8028564453125,0.908169686794281,726.9415893554688,1007.8556518554688,0.9344613552093506,489.9425964355469,1028.64501953125,0.8573586344718933,685.3628540039062,1036.9608154296875,0.8510717749595642,341.2754187724644
P04_Med_Side_3,93,0,625.6533813476562,649.9624633789062,0.9378249049186708,625.6533813476562,641.6136474609375,0.924514651298523,621.47900390625,641.6136474609375,0.9030229449272156,583.909423828125,641.6136474609375,0.6150949597358704,600.6069946289062,645.7880859375,0.8508697152137756,617.3046264648438,695.880859375,0.9517761468887328,558.8629760742188,700.0552368164062,0.8868753910064697,646.525390625,754.3224487304688,0.9051011800765992,529.6422119140625,771.0200805664062,0.9321430921554564,700.7926025390625,787.7176513671875,0.9583378434181212,512.944580078125,833.6360473632812,0.933313250541687,600.6069946289062,837.8104858398438,0.7978360056877136,583.909423828125,841.98486328125,0.8634356260299683,550.5142211914062,925.472900390625,0.9165048003196716,629.8278198242188,929.6472778320312,0.8765226006507874,504.5957946777344,1008.9608764648438,0.942647397518158,688.2694091796875,1017.3096923828124,0.922941029071808,604.7814331054688,612.3928833007812,0.9315122961997986,592.2581787109375,675.0088500976562,0.9264273643493652,592.2581787109375,837.8104858398438,0.8967264294624329,554.6885986328125,1034.00732421875,0.898261308670044,738.3622436523438,1000.612060546875,0.9267621636390686,550.5142211914062,1029.8328857421875,0.9271894097328186,734.1878051757812,1013.1353149414062,0.9469181299209596,492.0726013183594,1025.658447265625,0.8448625206947327,688.2694091796875,1038.181640625,0.9046937823295592,342.6316017325561
