video_name,frame,person_idx,nose_x,nose_y,nose_c,neck_x,neck_y,neck_c,right_shoulder_x,right_shoulder_y,right_shoulder_c,right_elbow_x,right_elbow_y,right_elbow_c,right_wrist_x,right_wrist_y,right_wrist_c,left_shoulder_x,left_shoulder_y,left_shoulder_c,left_elbow_x,left_elbow_y,left_elbow_c,left_wrist_x,left_wrist_y,left_wrist_c,mid_hip_x,mid_hip_y,mid_hip_c,right_hip_x,right_hip_y,right_hip_c,right_knee_x,right_knee_y,right_knee_c,right_ankle_x,right_ankle_y,right_ankle_c,left_hip_x,left_hip_y,left_hip_c,left_knee_x,left_knee_y,left_knee_c,left_ankle_x,left_ankle_y,left_ankle_c,right_eye_x,right_eye_y,right_eye_c,left_eye_x,left_eye_y,left_eye_c,right_ear_x,right_ear_y,right_ear_c,left_ear_x,left_ear_y,left_ear_c,left_big_toe_x,left_big_toe_y,left_big_toe_c,left_small_toe_x,left_small_toe_y,left_small_toe_c,left_heel_x,left_heel_y,left_heel_c,right_big_toe_x,right_big_toe_y,right_big_toe_c,right_small_toe_x,right_small_toe_y,right_small_toe_c,right_heel_x,right_heel_y,right_heel_c,person_height
P02_Med_Side_3,119,0,468.959,647.47,0.820082,443.84,705.313,0.921899,410.778,709.172,0.911114,377.804,771.568,0.926308,353.052,841.828,0.913342,473.112,705.258,0.890566,481.373,763.348,0.896436,539.304,804.641,0.861506,440.022,837.871,0.894229,419.181,837.914,0.862149,469.007,916.776,0.826706,535.22,1016.31,0.862804,448.393,837.817,0.88545,410.987,916.664,0.894836,352.858,1012.07,0.906419,452.425,643.171,0.833274,472.954,643.119,0.436249,431.721,647.173,0.822355,0.0,0.0,0.0,398.459,1036.99,0.745872,390.222,1028.68,0.676657,340.395,1020.3,0.822511,572.677,1007.8,0.811576,572.507,1012.21,0.848835,535.192,1040.92,0.815011,331.390347487672
P02_Med_Side_3,120,0,477.272,647.4,0.926799,444.137,705.329,0.959509,411.025,709.218,0.93949,382.063,775.49,0.924347,373.523,837.982,0.911998,477.265,705.231,0.917445,481.63,763.381,0.863029,543.425,804.643,0.912462,444.131,837.955,0.935382,427.481,841.886,0.847956,481.415,925.023,0.853946,539.43,1016.32,0.890241,452.503,837.894,0.863662,411.002,916.873,0.894206,352.966,1012.17,0.899088,468.865,643.186,0.866431,477.264,643.086,0.520656,439.932,647.287,0.883241,0.0,0.0,0.0,398.543,1040.96,0.723665,390.258,1032.76,0.64877,340.414,1020.4,0.79078,576.766,1011.91,0.813524,572.603,1020.35,0.827004,539.275,1040.91,0.840476,332.86556209527004
P02_Med_Side_3,121,0,481.342,647.373,0.909366,448.352,705.282,0.94191,415.272,709.208,0.907821,386.173,775.673,0.936098,377.788,842.167,1.00984,481.438,705.208,0.931925,489.706,767.453,0.834161,543.71,804.717,0.929053,448.273,841.938,0.932284,439.912,842.047,0.883334,493.911,920.902,0.821697,543.463,1020.27,0.896074,464.804,841.923,0.847372,415.115,925.075,0.870983,357.053,1011.95,0.891036,473.147,643.204,0.885622,481.367,643.049,0.566239,444.157,647.309,0.923403,0.0,0.0,0.0,406.657,1040.96,0.785546,394.368,1032.73,0.678424,344.399,1016.2,0.849079,581.061,1012.03,0.813105,576.72,1024.54,0.838797,539.388,1041.04,0.836253,336.4409314054995
P02_Med_Side_3,122,0,489.799,647.236,0.865685,456.46,709.179,0.916948,423.376,709.192,0.874812,406.777,775.65,0.925977,382.146,841.902,0.958357,485.617,709.232,0.916183,498.051,767.478,0.833746,547.731,804.777,0.933232,448.472,838.001,0.898583,443.951,841.927,0.890122,502.213,916.794,0.841551,543.742,1016.31,0.913858,473.034,837.946,0.844925,419.236,925.048,0.845375,357.09,1008.09,0.894602,481.489,643.071,0.889184,485.743,642.872,0.226388,456.491,647.247,0.885101,0.0,0.0,0.0,406.658,1040.93,0.795525,394.392,1032.73,0.678976,344.463,1012.22,0.894099,589.2,1012.24,0.822235,580.733,1032.67,0.87307,543.499,1040.94,0.866398,329.86275915901746
P02_Med_Side_3,123,0,502.164,647.368,0.862132,468.949,709.29,0.918053,439.841,709.386,0.906319,410.854,775.856,0.94994,402.574,842.094,0.93568,498.023,709.254,0.880824,510.268,771.479,0.879722,551.878,804.78,0.900577,460.713,842.13,0.867966,448.286,842.209,0.892435,510.476,929.151,0.865598,547.866,1016.35,0.891433,477.225,842.013,0.873635,427.471,933.282,0.81275,365.323,1007.97,0.886606,485.604,643.167,0.87914,498.003,643.032,0.275373,460.737,647.325,0.863374,0.0,0.0,0.0,406.719,1040.85,0.784801,398.44,1028.68,0.678511,344.624,1012.03,0.885086,589.181,1016.17,0.742642,580.946,1028.69,0.786007,547.674,1040.87,0.833634,325.41711374941553
P02_Med_Side_3,124,0,510.213,647.46,0.872327,477.195,709.245,0.959325,444.124,709.325,0.932024,414.924,775.746,0.950311,410.774,842.261,0.983093,510.304,709.212,0.930163,514.547,771.573,0.910798,564.387,808.683,0.879255,473.171,842.19,0.907949,452.424,842.245,0.86058,514.665,933.306,0.854796,551.895,1024.46,0.866048,481.591,842.142,0.893223,440.013,929.189,0.833522,373.619,1007.81,0.910382,493.779,643.248,0.84817,506.352,643.194,0.48185,469.033,647.343,0.871477,0.0,0.0,0.0,406.772,1040.95,0.808801,398.562,1032.77,0.713562,348.8,1008.08,0.876252,597.493,1016.31,0.708528,585.114,1032.82,0.75831,547.808,1041.05,0.853559,333.053534234363
P02_Med_Side_3,125,0,514.466,647.352,0.922327,481.379,709.168,0.957141,448.363,709.214,0.907547,419.376,775.839,0.930621,414.961,846.244,1.01378,514.424,709.18,0.944263,518.742,767.518,0.870061,572.461,808.677,0.905635,481.344,841.992,0.924237,468.991,842.099,0.844787,518.88,924.983,0.817216,552.012,1024.53,0.855766,497.926,841.953,0.832529,460.651,916.782,0.820352,377.899,1003.67,0.889945,506.298,643.193,0.883392,514.487,643.077,0.452658,477.241,647.32,0.910607,0.0,0.0,0.0,410.768,1036.99,0.795761,402.647,1028.65,0.691701,357.064,1007.75,0.857246,597.41,1020.37,0.718195,585.059,1036.81,0.802647,547.865,1041.11,0.876484,331.9145900032114
P02_Med_Side_3,126,0,514.785,647.388,0.871342,485.543,705.263,0.915515,456.579,709.199,0.873347,440.028,779.797,0.955099,431.578,846.308,0.90141,514.693,705.162,0.919508,522.824,767.418,0.859153,572.588,808.763,0.932133,485.513,841.976,0.876467,477.293,842.122,0.885943,531.211,916.772,0.820105,556.078,1024.57,0.830542,506.144,837.986,0.806712,477.121,920.903,0.877484,382.012,999.566,0.879003,510.552,643.241,0.869945,514.793,643.174,0.316962,485.499,647.29,0.869311,0.0,0.0,0.0,410.715,1041.04,0.840343,402.658,1036.85,0.753363,369.434,999.678,0.838342,605.66,1024.53,0.71151,589.177,1037.0,0.774709,547.887,1041.12,0.824208,330.6946002613287
P02_Med_Side_3,127,0,518.874,647.322,0.859958,489.797,705.336,0.886147,469.003,709.313,0.893108,444.168,775.895,0.962958,444.248,846.337,0.979624,518.825,705.173,0.882203,539.336,767.507,0.873301,576.807,812.935,0.971154,497.993,841.939,0.861795,481.379,842.009,0.902294,539.43,912.75,0.854139,560.164,1028.59,0.826937,514.421,837.96,0.872613,481.4,920.933,0.849163,394.279,987.238,0.84154,514.516,643.133,0.885004,518.844,643.043,0.393468,485.671,647.225,0.869238,0.0,0.0,0.0,406.769,1041.15,0.825456,406.626,1040.88,0.794409,377.663,983.111,0.862852,609.735,1028.66,0.764043,593.328,1040.96,0.824967,547.892,1041.13,0.852952,332.0363393515836
P02_Med_Side_3,128,0,535.321,647.071,0.853713,506.25,705.312,0.901636,477.135,709.258,0.930421,448.44,779.713,0.957142,452.411,846.373,0.960822,539.277,705.113,0.858001,543.588,767.525,0.910415,576.78,812.913,0.955581,506.265,842.053,0.889535,485.474,842.105,0.868257,543.649,916.853,0.862555,560.179,1032.7,0.834226,514.718,841.957,0.876824,489.769,924.917,0.794931,410.791,983.12,0.901729,518.732,638.998,0.826282,535.214,638.966,0.285463,497.999,643.258,0.868403,0.0,0.0,0.0,410.78,1041.0,0.785248,410.902,1036.88,0.785289,386.083,979.052,0.844854,605.821,1032.78,0.802376,589.263,1041.05,0.850095,547.902,1041.19,0.834412,333.9326777959893
