TD_Kneeadduction_1,TD_Kneeadduction_2,TD_Kneeadduction_3,TD_Kneeadduction_4,TO_Kneeadduction_1,TO_Kneeadduction_2,TO_Kneeadduction_3,TO_Kneeadduction_4,TD_Kneeflexion_1,TD_Hipflexion_1,TD_Ankledorsiflexion_1,TD_Kneeflexion_2,TD_Hipflexion_2,TD_Ankledorsiflexion_2,TD_Kneeflexion_3,TD_Hipflexion_3,TD_Ankledorsiflexion_3,TD_Kneeflexion_4,TD_Hipflexion_4,TD_Ankledorsiflexion_4,TO_Kneeflexion_1,TO_Hipflexion_1,TO_Ankledorsiflexion_1,TO_Kneeflexion_2,TO_Hipflexion_2,TO_Ankledorsiflexion_2,TO_Kneeflexion_3,TO_Hipflexion_3,TO_Ankledorsiflexion_3,TO_Kneeflexion_4,TO_Hipflexion_4,TO_Ankledorsiflexion_4
3.168424047011797,6.143594864548845,4.055578513822724,3.3151277049319106,-8.817906914946434,-12.722918856407489,-11.427099869764843,-15.4731124306237,,,,,,,,,,,,,,,,,,,,,,,,
6.871280372761845,4.616545793572556,6.228608323053265,5.854966060905753,-7.7920831193737,-7.75039898795572,-11.713547880516046,-12.734383928771791,,,,,,,,,,,,,,,,,,,,,,,,
2.990609168855485,5.448772776002983,3.619807491588716,1.2555937275758424,-6.554766471877656,-11.389523595862729,-5.609880867405025,-13.44997183998288,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,2.9823089940269085,22.6216510429947,0.4291929346736367,-2.918877588530677,21.77187352299495,0.6491848233960269,-1.6760591582817028,22.84603123098188,3.7582799912083686,-7.369115779437436,20.14229250358593,-0.831033202975135,31.73445638821002,-17.83757190485599,-12.757424983463622,23.563289448506367,-22.84851266723922,-11.860476037906691,30.74348752200541,-16.889840074595156,-17.074114059586492,28.856478591810458,-12.106946212434169,-8.301410462808775
,,,,,,,,-1.6091673893654672,20.53131439327828,-0.2670273729399781,-3.935698435727119,20.08292153358539,0.6962377793274044,-1.0628594605696549,23.73935280868463,2.1934321129749605,-1.407220121073152,24.9917337857421,1.665828210033112,33.55188348503469,-18.10882162295533,-8.599604496509585,31.8374101090601,-18.34515505338922,-17.573173355850912,36.24646470847662,-12.151195196583076,-18.115338492209474,39.75099305136942,-7.943230538801799,-17.71105339819887
,,,,,,,,2.429556556741119,24.509029619728157,2.666829882591742,-3.0570448099639407,22.038278821178096,0.8148460391464454,-1.072208872505854,27.752792995136872,2.228021427192928,,,,33.17955011840888,-16.643364116488385,-7.694600876908169,32.749699246450206,-18.14554740989226,-13.367654898428285,35.95360753581224,-11.002239089214411,-22.92284055816137,36.72769467924894,-5.513419217773361,-15.65011826546538
