TD_Kneeadduction_1,TD_Kneeadduction_2,TD_Kneeadduction_3,TD_Kneeadduction_4,TO_Kneeadduction_1,TO_Kneeadduction_2,TO_Kneeadduction_3,TO_Kneeadduction_4,TD_Kneeflexion_1,TD_Hipflexion_1,TD_Ankledorsiflexion_1,TD_Kneeflexion_2,TD_Hipflexion_2,TD_Ankledorsiflexion_2,TO_Kneeflexion_1,TO_Hipflexion_1,TO_Ankledorsiflexion_1,TD_Kneeflexion_3,TD_Hipflexion_3,TD_Ankledorsiflexion_3,TD_Kneeflexion_4,TD_Hipflexion_4,TD_Ankledorsiflexion_4,TO_Kneeflexion_2,TO_Hipflexion_2,TO_Ankledorsiflexion_2,TO_Kneeflexion_3,TO_Hipflexion_3,TO_Ankledorsiflexion_3,TO_Kneeflexion_4,TO_Hipflexion_4,TO_Ankledorsiflexion_4
7.108676732247318,7.205731802079072,4.168499769777924,4.446688129371353,-7.042301810336397,-6.005899704399496,-6.195398818318836,-10.279618660766062,,,,,,,,,,,,,,,,,,,,,,,,
3.854943911516187,4.297394315982871,4.321933491444128,7.363235341857887,-7.912496813291995,-10.32139419472054,-15.40704674076045,-9.418753082475575,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,-3.777691885955903,15.120332919476198,2.424438741403563,-1.9747417652509969,20.26561204051268,7.3114013865271374,25.33201866290929,-28.86299535441927,-0.7266262295816119,,,,,,,,,,,,,,,
,,,,,,,,-0.9164637554902412,16.51425020166326,1.7290794079525114,-2.6006908754407903,16.889515416660117,2.6817334061988305,28.97721729920309,-27.36395100363839,-0.4370534435002895,-2.273844699275486,22.646654755209312,1.653967618464634,-4.856564143251063,24.714976096505865,0.4080700320155301,30.40827133959908,-24.285957696414982,-4.967667481500683,31.994169431784485,-22.51990319506055,-7.825945696744938,33.41857921453743,-13.9721383274329,-7.455914284154446
,,,,,,,,-3.373846303198036,17.433450555350646,-0.4394466126711762,-3.830814946544564,18.71449860573972,4.34385686354247,25.672272559281765,-29.986682444649773,-3.501106720762934,-0.7727045220556761,22.59635645864776,3.881970469903521,-4.660527260683693,19.751924383667586,3.526385091668672,27.6829039040025,-25.007934340128852,-3.1303422549571,33.66901378711526,-20.53795736366501,-8.132095730556983,32.11436398103157,-18.14351416207643,-6.840521813845456
