video_name,frame,Knee,Hip,Ankle
P09_Med_Front_1,100,-2.9781656122717948,-7.1620879191798394,-77.19460574391232
P09_Med_Front_1,101,-2.053129394119594,-6.039166414820187,-79.12093722148299
P09_Med_Front_1,102,-1.1890032690996009,-5.012638869230699,-81.38943847766825
P09_Med_Front_1,103,-0.3936646074424175,-4.135137400708629,-83.70567033265141
P09_Med_Front_1,104,0.3371709768617279,-3.428323047979262,-85.5675462207393
P09_Med_Front_1,105,1.0157521849787088,-2.8751346041773616,-86.4459692320622
P09_Med_Front_1,106,1.6478300859791375,-2.4257120971500115,-86.00735487485824
P09_Med_Front_1,107,2.2308871848534295,-2.010592474810551,-84.2265633036132
P09_Med_Front_1,108,2.7603595379569015,-1.5632773141591372,-81.39507164197991
P09_Med_Front_1,109,3.2229091369216007,-1.0383401920595645,-78.0298848804591
P09_Med_Front_1,110,3.5866405393021807,-0.41839795676756353,-74.68472575530086
P09_Med_Front_1,111,3.803495073574851,0.276323954385191,-71.7957169391295
P09_Med_Front_1,112,3.8250137054126014,0.9865529920860183,-69.63503285414674
P09_Med_Front_1,113,3.6225505294068228,1.6252755234871472,-68.34217121430498
P09_Med_Front_1,114,3.197995757533306,2.0701530724784334,-67.9724410750456
P09_Med_Front_1,115,2.584770816382729,2.1774412066322384,-68.46244492236372
P09_Med_Front_1,116,1.8327463452871768,1.8827202000764203,-69.54796253904385
P09_Med_Front_1,117,0.9852221313008158,1.2672953437383399,-70.837854778555
P09_Med_Front_1,118,0.07342579699411544,0.474988596182385,-72.05955216052766
P09_Med_Front_1,119,-0.8767283270485962,-0.38682222662703225,-73.17244855598477
P09_Med_Front_1,120,-1.8311017351531689,-1.2528776611551677,-74.22681908357137
P09_Med_Front_1,121,-2.732681105658145,-2.073296823831498,-75.22476744966121
P09_Med_Front_1,122,-3.5158829579602866,-2.80551350790671,-76.14042764140416
P09_Med_Front_1,123,-4.140341986752702,-3.422156289007347,-76.9949801221374
P09_Med_Front_1,124,-4.59730374352236,-3.9208338286228184,-77.85906686457798
P09_Med_Front_1,125,-4.890122103142119,-4.320368042358808,-78.76180857032054
P09_Med_Front_1,126,-5.025609087123939,-4.64513439691811,-79.61441072593857
P09_Med_Front_1,127,-5.0257614896790415,-4.917352841837982,-80.24790189861045
P09_Med_Front_1,128,-4.931172347970602,-5.152001829516507,-80.53553614190639
P09_Med_Front_1,129,-4.777546943268959,-5.343289820173396,-80.50105771070974
P09_Med_Front_1,130,-4.583092153157281,-5.47373967833758,-80.3018223068037
P09_Med_Front_1,131,-4.365214279413209,-5.5495511851810875,-80.0788466100413
P09_Med_Front_1,132,-4.145005794058932,-5.607543844807822,-79.82937341470134
P09_Med_Front_1,133,-3.928782655754617,-5.67882043760423,-79.42597620098888
P09_Med_Front_1,134,-3.6963927730367914,-5.757196347087415,-78.74243685474161
P09_Med_Front_1,135,-3.4091126647334704,-5.804091893211137,-77.77117642052485
P09_Med_Front_1,136,-3.0396983663045773,-5.781383968040842,-76.67732009903759
P09_Med_Front_1,137,-2.6088503177544453,-5.685455836302651,-75.80190907670274
P09_Med_Front_1,138,-2.1811249612746337,-5.549434486130934,-75.58613825485216
P09_Med_Front_1,139,-1.817479633893015,-5.410176647836636,-76.38814177090725
P09_Med_Front_1,140,-1.5414210504047503,-5.2735215377362294,-78.27754363510832
P09_Med_Front_1,141,-1.3464703294656886,-5.11134189322749,-80.95187800843681
