TD_Kneeflexion_1,TD_Hipflexion_1,TD_Ankledorsiflexion_1,TD_Kneeflexion_2,TD_Hipflexion_2,TD_Ankledorsiflexion_2,TD_Kneeflexion_3,TD_Hipflexion_3,TD_Ankledorsiflexion_3,TD_Kneeflexion_4,TD_Hipflexion_4,TD_Ankledorsiflexion_4,TO_Kneeflexion_1,TO_Hipflexion_1,TO_Ankledorsiflexion_1,TO_Kneeflexion_2,TO_Hipflexion_2,TO_Ankledorsiflexion_2,TO_Kneeflexion_3,TO_Hipflexion_3,TO_Ankledorsiflexion_3,TO_Kneeflexion_4,TO_Hipflexion_4,TO_Ankledorsiflexion_4,TD_Kneeadduction_1,TD_Kneeadduction_2,TD_Kneeadduction_3,TO_Kneeadduction_1,TO_Kneeadduction_2,TO_Kneeadduction_3,TD_Kneeadduction_4,TO_Kneeadduction_4
9.069524624317069,26.86426571597229,-3.1096567386054232,2.351305963946828,24.47192894053518,-6.894696878602844,-1.2398305866403234,21.62113213851572,-2.5357701425136128,-1.9599589383573743,24.135213419630105,-5.5972587058158325,34.7972749759866,-21.283339660209634,5.0825129279544825,46.7113198768302,-10.604263872059448,13.379028618223757,27.578533337118984,-11.996574115683956,1.0278254728388276,37.92089276330879,-7.096708106035379,-1.0583121608084696,,,,,,,,
2.79246569799011,20.344235910243786,-1.3243626316738926,-0.6097018418682012,23.099825431985835,-4.5144435210063705,-0.6866034525356213,21.84955017536348,-3.9829953465748673,-2.990681823347302,21.94952648187291,-4.464485489844137,33.14081135476442,-22.71987729090304,4.510073529490953,32.686938100859805,-20.38607092252326,1.048362717229395,37.45177890756543,-15.352317918447511,-0.489082748644023,48.504043895334775,-1.8817441373677468,-0.6112885177097098,,,,,,,,
7.649385394668286,25.63376612960909,-3.6392275078292897,1.915504823546854,23.480894141476146,-5.58036418304475,-0.5242786890456728,19.97674294830236,-7.494406043952651,,,,30.65549437584445,-23.01721400986773,1.1267591651592568,34.90839576323464,-15.943324600875172,2.4101059061841426,41.15774720846227,-4.433445199903446,-11.253579661802988,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,-6.359394709148319,-8.03479942450383,-1.115268518126328,-9.5888098453984,1.7893857379677058,-7.25246690971889,,
,,,,,,,,,,,,,,,,,,,,,,,,-4.650834714495943,-1.7687943945588245,0.7974583291113504,-9.079235320286188,-2.302542526516873,-1.1151178688729717,-2.251230334514787,-11.811196538127431
,,,,,,,,,,,,,,,,,,,,,,,,-5.184136265622357,0.5762070692051964,2.4217361267657225,-13.09549995424851,-3.8298397623627807,-8.447360906039165,-1.4402299865845407,-2.515788065096672
