video_name,frame,person_idx,nose_x,nose_y,nose_c,neck_x,neck_y,neck_c,right_shoulder_x,right_shoulder_y,right_shoulder_c,right_elbow_x,right_elbow_y,right_elbow_c,right_wrist_x,right_wrist_y,right_wrist_c,left_shoulder_x,left_shoulder_y,left_shoulder_c,left_elbow_x,left_elbow_y,left_elbow_c,left_wrist_x,left_wrist_y,left_wrist_c,mid_hip_x,mid_hip_y,mid_hip_c,right_hip_x,right_hip_y,right_hip_c,right_knee_x,right_knee_y,right_knee_c,right_ankle_x,right_ankle_y,right_ankle_c,left_hip_x,left_hip_y,left_hip_c,left_knee_x,left_knee_y,left_knee_c,left_ankle_x,left_ankle_y,left_ankle_c,right_eye_x,right_eye_y,right_eye_c,left_eye_x,left_eye_y,left_eye_c,right_ear_x,right_ear_y,right_ear_c,left_ear_x,left_ear_y,left_ear_c,left_big_toe_x,left_big_toe_y,left_big_toe_c,left_small_toe_x,left_small_toe_y,left_small_toe_c,left_heel_x,left_heel_y,left_heel_c,right_big_toe_x,right_big_toe_y,right_big_toe_c,right_small_toe_x,right_small_toe_y,right_small_toe_c,right_heel_x,right_heel_y,right_heel_c
P11_Med_Side_2,6,0,0.0,0.0,0.0,1032.71,684.596,0.890365,1045.4,680.638,0.936206,1065.86,713.71,0.807387,1045.36,742.515,0.414559,1008.0,688.667,0.935177,1003.66,726.05,0.820831,991.397,755.053,0.691847,1036.85,750.962,0.932343,1045.09,750.92,0.972451,1041.01,809.098,0.941177,1040.86,866.881,0.85718,1016.15,751.008,0.917712,1012.28,812.905,0.932136,1016.28,867.019,0.859612,0.0,0.0,0.0,0.0,0.0,0.0,1041.05,663.827,0.424276,1012.12,667.857,0.661504,1011.99,875.135,0.699929,1011.92,875.178,0.734978,1020.45,875.124,0.8131,1036.96,875.134,0.464879,1041.08,871.111,0.475404,1040.9,875.05,0.779667
P11_Med_Side_2,6,1,1206.74,680.335,0.961861,1202.79,705.223,0.925206,1177.98,705.241,0.921923,1169.6,726.009,0.800315,1178.04,738.438,0.808259,1215.21,705.315,0.88948,1211.28,738.302,0.84477,1198.61,742.411,0.840082,1202.59,763.234,0.844771,1181.98,759.096,0.85819,1177.96,808.708,0.938059,1177.91,842.23,0.949998,1210.85,763.376,0.894178,1202.73,804.77,0.823718,1182.13,846.078,0.837304,1202.66,676.333,0.936994,1206.98,676.366,0.956668,1190.26,676.436,0.765473,1211.01,676.454,0.773429,1177.99,858.692,0.677536,1186.27,854.589,0.630122,1182.17,846.229,0.636365,1177.85,854.512,0.751968,1173.73,850.524,0.780472,1177.94,846.297,0.735141
P11_Med_Side_2,7,0,0.0,0.0,0.0,1028.7,684.563,0.890742,1045.4,680.617,0.939802,1065.88,713.801,0.770298,1045.42,742.624,0.351336,1007.93,688.62,0.944436,1003.58,730.124,0.825363,987.202,759.149,0.733831,1036.86,750.996,0.927098,1045.13,750.966,0.961794,1041.0,812.883,0.943385,1036.97,867.0,0.865106,1016.12,751.051,0.905536,1012.25,812.905,0.936667,1016.13,866.987,0.876091,0.0,0.0,0.0,0.0,0.0,0.0,1041.08,659.741,0.40786,1012.05,667.865,0.642748,1012.19,875.079,0.646934,1012.03,875.105,0.672371,1016.35,875.155,0.822111,1040.9,875.239,0.541037,1041.14,875.129,0.538507,1036.95,875.16,0.790137
P11_Med_Side_2,7,1,1206.78,680.358,0.961886,1202.75,705.243,0.919761,1177.95,705.253,0.924934,1169.61,730.056,0.80362,1181.98,738.398,0.798437,1215.16,705.329,0.897774,1215.17,734.362,0.83173,1198.66,742.392,0.838921,1198.65,763.353,0.843123,1178.14,759.227,0.859095,1177.82,808.719,0.936917,1177.84,846.054,0.953334,1207.07,767.454,0.904035,1202.68,808.72,0.827824,1182.07,846.241,0.847943,1202.7,676.347,0.939909,1207.0,676.374,0.941862,1186.28,680.192,0.821182,1210.99,680.233,0.64574,1177.97,862.821,0.694432,1186.23,858.682,0.652234,1182.13,846.419,0.644432,1177.8,854.535,0.75069,1173.69,854.481,0.7629,1177.9,846.375,0.723671
P11_Med_Side_2,8,0,1206.72,680.343,0.956784,1202.82,705.171,0.928184,1178.01,705.195,0.917886,1169.63,725.931,0.804898,1181.98,738.341,0.811007,1215.24,705.27,0.887794,1211.3,738.267,0.837175,1202.65,742.397,0.845827,1198.6,759.21,0.840371,1178.07,755.066,0.875676,1177.8,804.819,0.930223,1177.83,842.243,0.958845,1207.07,763.383,0.895679,1202.75,804.813,0.841836,1182.17,846.153,0.850083,1202.64,676.344,0.933339,1206.96,676.368,0.955435,1190.31,676.434,0.716923,1211.04,676.438,0.818379,1178.0,862.83,0.710553,1190.3,858.683,0.661038,1186.1,846.289,0.654992,1177.77,854.531,0.762501,1173.64,854.458,0.779778,1177.89,846.309,0.738869
P11_Med_Side_2,8,1,0.0,0.0,0.0,1028.69,684.601,0.884514,1045.35,680.639,0.937885,1061.73,713.656,0.744026,1045.21,742.474,0.305317,1007.96,688.644,0.934765,1003.59,726.054,0.813372,991.318,755.113,0.72275,1036.82,750.927,0.933291,1045.08,750.886,0.971148,1041.04,808.987,0.94471,1037.0,862.846,0.854839,1012.31,750.964,0.925805,1012.24,809.08,0.940629,1012.22,866.884,0.878452,0.0,0.0,0.0,1008.08,663.875,0.0531523,1041.06,663.854,0.396926,1012.06,667.993,0.688915,1012.13,875.024,0.645104,1011.92,875.023,0.668193,1016.2,875.081,0.823764,1040.95,875.125,0.546158,1041.2,871.15,0.54186,1036.92,871.174,0.793421
P11_Med_Side_2,9,0,1206.74,680.331,0.955037,1202.8,705.187,0.922986,1177.97,705.211,0.921791,1169.56,726.008,0.805441,1182.01,738.393,0.826106,1215.23,705.275,0.886963,1215.16,734.35,0.833456,1202.67,742.383,0.850838,1198.65,759.243,0.83621,1178.12,755.116,0.862075,1177.94,808.673,0.922733,1177.89,846.034,0.952677,1207.09,763.38,0.889428,1202.68,804.788,0.822148,1182.08,846.203,0.854301,1202.66,676.329,0.931956,1206.98,676.352,0.948694,1186.29,676.442,0.774279,1211.0,676.417,0.768541,1177.93,862.78,0.673226,1186.2,858.694,0.631616,1182.12,846.38,0.655209,1177.81,854.529,0.754453,1173.68,854.445,0.774987,1177.94,846.343,0.727688
P11_Med_Side_2,9,1,0.0,0.0,0.0,1028.67,688.669,0.863103,1045.29,684.607,0.926061,1057.73,713.783,0.787533,1049.34,742.488,0.415228,1007.97,692.765,0.925809,999.599,730.149,0.808711,987.171,759.161,0.733557,1032.83,750.939,0.915095,1045.02,750.89,0.965086,1041.03,808.919,0.934947,1040.82,858.67,0.852719,1012.23,750.979,0.933912,1012.19,808.992,0.944459,1012.25,862.739,0.874352,0.0,0.0,0.0,0.0,0.0,0.0,1041.07,671.967,0.45827,1012.08,672.103,0.657706,1016.18,871.075,0.627735,1012.08,871.079,0.637925,1016.23,871.119,0.814667,1041.0,875.027,0.564421,1045.05,871.052,0.560101,1036.93,871.017,0.782907
P11_Med_Side_2,10,0,0.0,0.0,0.0,1032.66,688.622,0.874715,1045.42,684.596,0.927297,1065.93,717.647,0.79683,1049.43,742.654,0.448975,1007.92,688.711,0.934766,999.516,734.192,0.814629,983.153,767.34,0.736511,1036.82,750.899,0.924477,1045.09,750.864,0.967014,1041.06,808.883,0.937489,1037.0,858.697,0.851566,1012.3,750.932,0.920187,1012.25,808.961,0.921834,1012.26,858.709,0.865332,0.0,0.0,0.0,0.0,0.0,0.0,1041.1,667.951,0.489812,1012.08,671.988,0.646375,1016.14,871.091,0.618823,1012.06,871.063,0.62647,1016.19,871.061,0.790709,1040.97,875.022,0.571959,1041.21,871.064,0.571059,1036.88,871.056,0.78368
P11_Med_Side_2,10,1,1206.73,680.349,0.959079,1202.81,705.233,0.929998,1177.96,705.238,0.919972,1169.57,726.056,0.794185,1178.05,738.356,0.783241,1215.27,705.341,0.889799,1215.15,738.357,0.865242,1198.63,742.41,0.862357,1198.55,759.213,0.830051,1178.02,755.076,0.873421,1177.82,804.642,0.892357,1177.82,842.132,0.954223,1207.04,763.364,0.887428,1202.77,800.683,0.821219,1182.17,846.051,0.854983,1202.65,676.352,0.936986,1206.98,676.384,0.962178,1186.29,680.201,0.747711,1211.03,680.202,0.824211,1177.95,862.763,0.715012,1190.25,858.629,0.662038,1186.11,846.198,0.674504,1177.76,850.493,0.766566,1173.64,850.42,0.787458,1177.87,846.192,0.733331
