video_name,frame,person_idx,nose_x,nose_y,nose_c,left_eye_x,left_eye_y,left_eye_c,right_eye_x,right_eye_y,right_eye_c,left_ear_x,left_ear_y,left_ear_c,right_ear_x,right_ear_y,right_ear_c,left_shoulder_x,left_shoulder_y,left_shoulder_c,right_shoulder_x,right_shoulder_y,right_shoulder_c,left_elbow_x,left_elbow_y,left_elbow_c,right_elbow_x,right_elbow_y,right_elbow_c,left_wrist_x,left_wrist_y,left_wrist_c,right_wrist_x,right_wrist_y,right_wrist_c,left_hip_x,left_hip_y,left_hip_c,right_hip_x,right_hip_y,right_hip_c,left_knee_x,left_knee_y,left_knee_c,right_knee_x,right_knee_y,right_knee_c,left_ankle_x,left_ankle_y,left_ankle_c,right_ankle_x,right_ankle_y,right_ankle_c,head_top_x,head_top_y,head_top_c,neck_x,neck_y,neck_c,pelvis_x,pelvis_y,pelvis_c,left_big_toe_x,left_big_toe_y,left_big_toe_c,right_big_toe_x,right_big_toe_y,right_big_toe_c,left_small_toe_x,left_small_toe_y,left_small_toe_c,right_small_toe_x,right_small_toe_y,right_small_toe_c,left_heel_x,left_heel_y,left_heel_c,right_heel_x,right_heel_y,right_heel_c
P08_Med_Side_1,1,0,938.5040893554688,668.853515625,0.9057404398918152,940.7646484375,663.29052734375,0.9329544305801392,939.5455322265625,664.3195190429688,0.8622629642486572,951.8895263671875,665.5514526367188,0.8761720657348633,962.1068115234375,663.29150390625,0.7461954951286316,954.1505737304688,697.0299072265625,0.896678626537323,972.050537109375,692.5003051757812,0.8626622557640076,950.56591796875,739.9111328125,0.787867546081543,964.1953735351562,729.48876953125,0.8553193807601929,932.7572021484375,757.7095947265625,0.8623083829879761,934.001220703125,744.1279907226562,0.8974957466125488,961.9599609375,767.796142578125,0.8055083751678467,976.5714111328125,764.2897338867188,0.7916617393493652,959.6964111328125,821.6880493164062,0.8612172603607178,974.3314208984375,819.4197998046875,0.8869196176528931,968.6385498046875,870.0549926757812,0.8235744833946228,980.5146484375,867.7946166992188,0.7667992115020752,950.8592529296875,646.422119140625,0.9506306648254395,958.6800537109375,680.1600341796875,0.9040807485580444,969.76904296875,763.26513671875,0.9021658897399902,950.7904663085938,879.5029296875,0.7478072047233582,965.408935546875,877.0098876953125,0.6744556427001953,951.6576538085938,883.248779296875,0.7805935144424438,968.6265258789062,876.0811767578125,0.6208660006523132,974.9995727539062,881.1002197265625,0.7989132404327393,985.3624877929688,876.4724731445312,0.7545694708824158
P08_Med_Side_1,1,1,846.3243408203125,708.2186279296875,0.9198027849197388,848.69140625,701.7501220703125,0.8950627446174622,839.8546142578125,703.4767456054688,0.8920677900314331,853.4234008789062,701.0545654296875,0.7256288528442383,828.1936645507812,705.21044921875,0.8455207347869873,862.905029296875,718.8091430664062,0.7788512706756592,814.069580078125,721.9962158203125,0.6113981008529663,870.414306640625,740.8514404296875,0.5348224639892578,809.2359619140625,746.5938720703125,0.6664078235626221,857.1302490234375,745.9442749023438,0.7205535173416138,834.02685546875,748.3212280273438,0.8068294525146484,864.396484375,786.08447265625,0.5386093854904175,827.6314697265625,787.2462768554688,0.5178902745246887,893.637939453125,815.1541137695312,0.8269731402397156,826.868896484375,815.1541137695312,0.6899405121803284,893.637939453125,884.1487426757812,0.506507158279419,831.3201904296875,864.1180419921875,0.5597050189971924,839.8680419921875,686.31201171875,0.8649522066116333,839.859619140625,717.0609130859375,0.8134877681732178,846.9122314453125,783.290283203125,0.6261464357376099,893.637939453125,910.8563232421875,0.5649060010910034,835.7714233398438,879.697509765625,0.786245584487915,902.5404663085938,908.6307373046875,0.5651982426643372,829.0945434570312,877.4718627929688,0.7423275113105774,893.637939453125,888.6000366210938,0.4028838574886322,833.5458374023438,861.8924560546875,0.577948272228241
P08_Med_Side_1,2,0,938.2305908203125,667.7825927734375,0.8794100880622864,940.6705322265625,662.9027709960938,0.9352070093154907,940.6705322265625,662.9027709960938,0.8118384480476379,950.43017578125,662.9027709960938,0.8367027044296265,965.0697021484375,662.9027709960938,0.7887253761291504,955.3099975585938,697.0616455078125,0.9139088988304138,972.3894653320312,692.1818237304688,0.9052402973175049,950.43017578125,740.9801635742188,0.8465274572372437,967.5096435546875,728.7805786132812,0.9261808395385742,930.9108276367188,758.0595703125,0.8484612703323364,938.2305908203125,743.4201049804688,0.850512683391571,962.6297607421875,765.3793334960938,0.8150427341461182,977.269287109375,762.939453125,0.7965124249458313,960.1898803710938,821.4974975585938,0.8498781323432922,972.3894653320312,819.0575561523438,0.8495538234710693,967.5096435546875,872.7357788085938,0.8652739524841309,982.1491088867188,867.85595703125,0.8292382955551147,950.43017578125,645.8233642578125,0.9448195099830627,957.7499389648438,679.982177734375,0.8986579775810242,969.9495239257812,760.49951171875,0.9350430369377136,945.5503540039062,880.0555419921875,0.8630231022834778,965.0697021484375,877.6156005859375,0.7480002641677856,947.9902954101562,882.4954223632812,0.8845733404159546,969.9495239257812,875.1756591796875,0.7497230172157288,972.3894653320312,882.4954223632812,0.883426308631897,984.5890502929688,877.6156005859375,0.7981882095336914
P08_Med_Side_1,2,1,846.0985107421875,707.2186279296875,0.9314767122268677,848.4703369140625,702.45703125,0.9265055656433105,839.8001708984375,702.879638671875,0.9182754755020142,853.225830078125,702.4440307617188,0.815184473991394,830.2982177734375,704.843505859375,0.8992049694061279,863.8851318359375,719.4840087890625,0.8511104583740234,818.0450439453125,721.8526000976562,0.8006162643432617,869.86669921875,740.6016845703125,0.744503378868103,809.04541015625,744.8607177734375,0.7769749164581299,857.96875,744.3873291015625,0.8652950525283813,833.529052734375,748.7449951171875,0.842085063457489,861.9542236328125,783.12451171875,0.759346604347229,827.66357421875,783.6473388671875,0.7719019651412964,893.3680419921875,814.9133911132812,0.7931387424468994,824.8861694335938,812.1292724609375,0.5667332410812378,889.0601806640625,880.3455200195312,0.5202904343605042,832.6278076171875,865.2640991210938,0.5696976184844971,839.7958984375,686.241943359375,0.8709104657173157,841.3621826171875,716.36083984375,0.8644077181816101,844.620849609375,780.7470092773438,0.831162691116333,896.7288208007812,910.2317504882812,0.5815955400466919,836.2592163085938,882.1767578125,0.6974735260009766,905.8391723632812,907.9541625976562,0.5659427046775818,828.4590454101562,878.1103515625,0.6449025869369507,890.1832275390625,885.516357421875,0.45864567160606384,835.2340087890625,864.6799926757812,0.6422462463378906
P08_Med_Side_1,3,0,937.7720947265625,669.5079956054688,0.9218388199806213,940.1729125976562,662.3054809570312,0.9546757340431213,937.7720947265625,662.3054809570312,0.859461784362793,949.7762451171875,664.706298828125,0.8965646028518677,964.1812744140625,662.3054809570312,0.784325122833252,954.5779418945312,695.917236328125,0.902199387550354,973.78466796875,691.1155395507812,0.8789917826652527,952.1771240234375,739.13232421875,0.8423110246658325,966.5821533203125,729.5289306640625,0.9428242444992065,932.9703979492188,755.9381713867188,0.887171745300293,937.7720947265625,743.9339599609375,0.875339925289154,961.7804565429688,767.9423828125,0.8385764360427856,976.1854858398438,765.54150390625,0.8064538240432739,959.379638671875,820.7608032226562,0.8801745176315308,973.78466796875,818.3599853515625,0.8694375157356262,968.9829711914062,871.1784057617188,0.8728482127189636,980.9871826171875,868.777587890625,0.8789868354797363,949.7762451171875,645.4996337890625,0.9122939109802246,956.978759765625,679.111328125,0.8947574496269226,968.9829711914062,763.1406860351562,0.9365847110748291,944.974609375,878.3809204101562,0.8631654977798462,964.1812744140625,875.9801025390625,0.7671831846237183,947.3754272460938,880.78173828125,0.8902177810668945,968.9829711914062,873.5792236328125,0.6867257356643677,971.3837890625,880.78173828125,0.8955965042114258,983.3880004882812,875.9801025390625,0.8074566125869751
P08_Med_Side_1,3,1,845.8740234375,707.697265625,0.9335523843765259,849.0479736328125,702.1351318359375,0.9315352439880371,839.880615234375,703.3276977539062,0.9421674013137817,853.4185791015625,702.1209716796875,0.8406474590301514,828.7328491210938,706.4727783203125,0.8959552049636841,863.8045043945312,720.029296875,0.8244369029998779,816.395751953125,723.6146850585938,0.8011922836303711,869.0655517578125,742.3892822265625,0.6884940266609192,805.9962768554688,746.361083984375,0.7519300580024719,857.0518798828125,745.5447998046875,0.7972713708877563,831.9716796875,748.3677368164062,0.8477107286453247,862.288818359375,786.3409423828125,0.7431797385215759,825.651123046875,787.1876220703125,0.7460719347000122,894.0540771484375,814.6026611328125,0.9011740684509277,833.5804443359375,814.3966064453125,0.6022549867630005,891.7860107421875,878.9740600585938,0.756240725517273,836.15185546875,864.5836181640625,0.590823769569397,839.1007080078125,686.5650634765625,0.8842737674713135,841.08447265625,718.0550537109375,0.8652036786079407,843.1322021484375,783.0999755859375,0.8051016330718994,896.9415283203125,906.7263793945312,0.6016759276390076,837.6392211914062,879.6649169921875,0.6769675612449646,896.6392211914062,902.5104370117188,0.5685087442398071,829.4091796875,876.790283203125,0.6282764673233032,887.5479125976562,886.586669921875,0.6764485836029053,837.4014892578125,865.50634765625,0.6834409236907959
P08_Med_Side_1,4,0,938.1566772460938,667.5962524414062,0.9000604748725891,940.6340942382812,662.6414794921875,0.9208199381828308,940.6340942382812,662.6414794921875,0.8687552809715271,950.5436401367188,662.6414794921875,0.8768534064292908,962.9306030273438,662.6414794921875,0.7223184108734131,955.4984130859375,694.8475341796875,0.9003210663795471,972.8401489257812,692.3701782226562,0.8948587775230408,950.5436401367188,739.4406127929688,0.8646039962768555,967.8853759765625,729.531005859375,0.9528013467788696,933.201904296875,754.304931640625,0.9165257811546326,938.1566772460938,744.3953857421875,0.7853705286979675,960.4532470703125,766.69189453125,0.816612958908081,975.3175659179688,764.2144775390625,0.8006407618522644,960.4532470703125,821.1945190429688,0.8547425270080566,972.8401489257812,818.7171020507812,0.876101016998291,967.8853759765625,870.7423706054688,0.8765463829040527,980.2723388671875,865.7875366210938,0.8358621001243591,950.5436401367188,645.2996826171875,0.9928908348083496,957.975830078125,679.9832153320312,0.9016625881195068,970.36279296875,761.7371215820312,0.9278140068054199,948.0662841796875,878.1744995117188,0.8472870588302612,965.4080200195312,875.6971435546875,0.6971436142921448,948.0662841796875,883.1292724609375,0.8909956812858582,967.8853759765625,873.2197265625,0.6632801294326782,972.8401489257812,880.6519165039062,0.9196169972419739,985.2271118164062,875.6971435546875,0.7831748723983765
P08_Med_Side_1,4,1,845.976318359375,708.0643920898438,0.9198930859565735,849.1435546875,701.3653564453125,0.9235185384750366,840.0625610351562,703.3228149414062,0.9244556427001953,853.46044921875,702.158935546875,0.8033930063247681,828.6109619140625,706.4727783203125,0.8573002219200134,862.9530639648438,720.3115234375,0.8104692697525024,817.1937866210938,721.6101684570312,0.7003291845321655,868.7391357421875,740.119873046875,0.6763948798179626,805.51318359375,745.0530395507812,0.6891943216323853,855.7691650390625,746.6558837890625,0.7290257215499878,833.36083984375,747.947509765625,0.8175740242004395,860.9990844726562,785.259765625,0.688122570514679,826.0712890625,784.7705078125,0.674297571182251,891.625,812.2529296875,0.6444591283798218,822.89501953125,813.4293212890625,0.61079341173172,886.973388671875,881.0650634765625,0.2877378463745117,831.905029296875,860.180908203125,0.5658644437789917,839.2653198242188,685.5647583007812,0.8610684275627136,841.2339477539062,717.9420166015625,0.8355215787887573,842.882568359375,780.9714965820312,0.776395320892334,893.4133911132812,908.525634765625,0.23796750605106354,837.8763427734375,875.8646850585938,0.6498718857765198,897.9134521484375,904.0255126953125,0.2867801785469055,825.60009765625,874.44970703125,0.5937787294387817,888.9132690429688,888.2752075195312,0.27030086517333984,830.4120483398438,861.274658203125,0.6704168319702148
P08_Med_Side_1,5,0,939.3211669921875,667.4172973632812,0.9059194922447205,941.73095703125,662.5977783203125,0.933652937412262,939.3211669921875,662.5977783203125,0.8609222173690796,951.3699951171875,665.007568359375,0.8607630133628845,963.4187622070312,662.5977783203125,0.7503668665885925,956.1895141601562,696.3344116210938,0.9199711084365845,973.0578002929688,691.514892578125,0.8977401256561279,951.3699951171875,737.3003540039062,0.7975232601165771,970.6480712890625,730.071044921875,0.9513722658157349,929.68212890625,751.7589111328125,0.8573271632194519,941.73095703125,744.5296020507812,0.821158230304718,963.4187622070312,766.2174682617188,0.8508971929550171,977.8773193359375,763.8076782226562,0.7884169816970825,958.5992431640625,821.6419067382812,0.87713623046875,973.0578002929688,816.8223876953125,0.8780593276023865,968.23828125,869.8370971679688,0.8977438807487488,980.287109375,867.4273681640625,0.86058109998703,951.3699951171875,645.7294921875,0.9048289656639099,958.5992431640625,679.4661254882812,0.8927204608917236,970.6480712890625,761.39794921875,0.9420871138572693,946.5504760742188,879.4761352539062,0.8593155741691589,961.009033203125,874.6566162109375,0.7156315445899963,948.960205078125,881.8859252929688,0.9156487584114075,963.4187622070312,872.2468872070312,0.6436858773231506,975.4675903320312,879.4761352539062,0.9509337544441223,985.1066284179688,874.6566162109375,0.7895354628562927
P08_Med_Side_1,5,1,846.1282958984375,708.0728759765625,0.9300792813301086,848.5194702148438,701.735595703125,0.9199943542480469,839.3778686523438,703.7133178710938,0.927115797996521,852.8777465820312,702.8504028320312,0.8324466943740845,828.2566528320312,705.692138671875,0.8888002634048462,862.4381103515625,721.684814453125,0.7959537506103516,818.2687377929688,722.9630126953125,0.7116212844848633,869.290283203125,741.5881958007812,0.6597083806991577,806.4679565429688,744.9381103515625,0.6974525451660156,855.8869018554688,746.1311645507812,0.7400884628295898,831.1957397460938,748.27392578125,0.8285266160964966,860.8234252929688,788.1038818359375,0.7442387342453003,825.9881591796875,788.2070922851562,0.722475528717041,893.5742797851562,812.4666748046875,0.8514766693115234,828.3905029296875,814.66552734375,0.55611652135849,892.4249877929688,884.1156005859375,0.7760806083679199,835.6510009765625,867.7766723632812,0.4467145800590515,838.5897827148438,685.021484375,0.8621091842651367,841.3558349609375,718.4495849609375,0.8766254186630249,843.4031372070312,783.762451171875,0.807011604309082,901.677978515625,913.013671875,0.7611111402511597,836.4496459960938,883.3125,0.5412110090255737,907.4033203125,910.695068359375,0.7953199148178101,827.0427856445312,878.9478759765625,0.4631912112236023,890.27490234375,891.76123046875,0.6802226305007935,840.775146484375,869.885986328125,0.446677029132843
