video_name,frame,Knee,Hip,Ankle
P06_Med_Front_3,20,-13.322792179482718,-13.67474962807529,-38.6927058152408
P06_Med_Front_3,21,-13.418736388444387,-14.54521201780446,-45.825589089798086
P06_Med_Front_3,22,-13.639631829950588,-15.305459836786639,-52.85750020162183
P06_Med_Front_3,23,-13.756486218666481,-15.719174418944618,-60.27671137472532
P06_Med_Front_3,24,-13.423635801160316,-15.657556829119386,-69.159218184769
P06_Med_Front_3,25,-12.540905177048387,-15.18032545809291,-80.36896274768682
P06_Med_Front_3,26,-11.279970878407568,-14.315774508684513,86.59838588850133
P06_Med_Front_3,27,-9.840882621851478,-12.984238406262989,73.3897295825823
P06_Med_Front_3,28,-8.279635257491464,-11.149788699122354,60.90090535532096
P06_Med_Front_3,29,-6.610373901121335,-8.987401361943455,49.169876016420915
P06_Med_Front_3,30,-5.020984716876143,-6.879664146959726,39.55815994815609
P06_Med_Front_3,31,-3.9228645235338035,-5.300595763660084,33.94887103353497
P06_Med_Front_3,32,-3.717240349741445,-4.606013540435555,33.011432520250125
P06_Med_Front_3,33,-4.446658664189243,-4.72542126664942,36.589191578032114
P06_Med_Front_3,34,-5.68227248733254,-5.1328561098950445,42.62663159282653
P06_Med_Front_3,35,-6.80406399864421,-5.264064632269424,46.34593138483288
P06_Med_Front_3,36,-7.423146053951825,-4.947657111148118,45.77823121968859
P06_Med_Front_3,37,-7.533061222284914,-4.447075923849582,43.59960481085477
P06_Med_Front_3,38,-7.321883915947666,-4.11911525763233,42.4037131663371
P06_Med_Front_3,39,-6.9542701255300585,-4.057074810361513,43.25203463442108
P06_Med_Front_3,40,-6.564351569767467,-4.120147997327194,47.02399926813305
P06_Med_Front_3,41,-6.33155733492157,-4.192795034310251,56.34116809050457
P06_Med_Front_3,42,-6.426808782039842,-4.243578441775327,77.7443982736844
P06_Med_Front_3,43,-6.90965545774398,-4.254502729197924,-69.52689106812375
P06_Med_Front_3,44,-7.68220648827679,-4.2635077031847,-49.50482957840089
P06_Med_Front_3,45,-8.51118631892777,-4.4064773504623815,-44.68251108370086
P06_Med_Front_3,46,-9.198922814052764,-4.863088523967946,-46.29656322849681
P06_Med_Front_3,47,-9.778180361187168,-5.827159870976232,-49.22034270822542
P06_Med_Front_3,48,-10.46166820636725,-7.436285043763007,-51.95608154410627
P06_Med_Front_3,49,-11.39018349461449,-9.572765544693624,-54.35567299543496
P06_Med_Front_3,50,-12.467238547764055,-11.837811071447675,-56.00429398869923
P06_Med_Front_3,51,-13.424693370076682,-13.78572358365875,-56.53976814335087
P06_Med_Front_3,52,-14.004931802064164,-15.111540591782727,-55.770914251350945
P06_Med_Front_3,53,-14.158590015120296,-15.782968368320184,-53.310123723440114
P06_Med_Front_3,54,-14.089032934745518,-16.027919260788337,-48.84809385952292
P06_Med_Front_3,55,-13.974749043266598,-15.967446311351267,-42.772684266829486
P06_Med_Front_3,56,-13.689616630903998,-15.321791251995393,-36.11334308742195
P06_Med_Front_3,57,-12.912415509332078,-13.6710494717897,-30.2623800739309
P06_Med_Front_3,58,-11.490205974991767,-10.956862441358311,-27.370817103529163
P06_Med_Front_3,59,-9.660393979716105,-7.595244228613382,-31.0214134648931
P06_Med_Front_3,60,-7.9357691441476845,-4.161117909534937,-47.99904538379482
P06_Med_Front_3,61,-6.800720246482626,-1.1752501968175295,-79.61780914029634
P06_Med_Front_3,62,-6.458170140177231,0.8823976925067711,79.64444513911792
P06_Med_Front_3,63,-6.71788889378189,1.7449403404576742,74.28358497099214
P06_Med_Front_3,64,-7.197400761867925,1.533826036807426,74.74643188991897
P06_Med_Front_3,65,-7.667128159476988,0.581378963241832,75.6645992496436
P06_Med_Front_3,66,-8.004159479570887,-0.7437446944624071,75.25292064384436
P06_Med_Front_3,67,-8.027116170674333,-2.0713567853576933,73.76766120310882
P06_Med_Front_3,68,-7.669873567343586,-3.1348298529425165,72.08329291522011
P06_Med_Front_3,69,-7.056333531157719,-3.823167020447073,71.12421872328389
P06_Med_Front_3,70,-6.345627882539219,-4.119429606100766,72.20430552768869
P06_Med_Front_3,71,-5.7967745919721665,-4.108479336269653,77.63049465280488
P06_Med_Front_3,72,-5.78358379275943,-4.005322539583261,-89.70391200054735
P06_Med_Front_3,73,-6.39793743233858,-4.058206942289388,-70.29075227359942
P06_Med_Front_3,74,-7.280560895498468,-4.420365539794716,-51.39470358913289
P06_Med_Front_3,75,-8.051382022642088,-5.087755859682062,-38.271223020333764
P06_Med_Front_3,76,-8.61438951994964,-5.903295528010574,-30.28141508275604
P06_Med_Front_3,77,-9.048973160711682,-6.735698602948986,-25.576168786073325
P06_Med_Front_3,78,-9.64121764133094,-7.756667800156379,-22.714853351747863
P06_Med_Front_3,79,-10.954675179838688,-9.388289738503914,-20.632408517728038
P06_Med_Front_3,80,-13.426180116968823,-11.805633224294553,-18.761620279480212
P06_Med_Front_3,81,-16.899272221457068,-14.548036315272157,-17.070922048865015
P06_Med_Front_3,82,-20.76931451998533,-16.816032812131084,-15.830030808765514
P06_Med_Front_3,83,-24.34295115191901,-18.124572746738068,-15.495437286220948
P06_Med_Front_3,84,-26.842910704759618,-18.522816062986408,-16.92685074647484
P06_Med_Front_3,85,-27.320181303866434,-18.31517738341941,-21.628906252255916
P06_Med_Front_3,86,-24.828617434628427,-17.6722852356869,-31.63029492804266
P06_Med_Front_3,87,-19.061448832788358,-16.538346920030165,-49.069046580125075
P06_Med_Front_3,88,-11.136123463904994,-14.978282873887764,-75.91643266571648
P06_Med_Front_3,89,-3.331621676965625,-13.404770519474624,70.00250184828386
P06_Med_Front_3,90,2.3783886937983425,-12.29245825330878,42.594592103491465
P06_Med_Front_3,91,5.183950177842206,-11.82721960393593,30.111863188215125
P06_Med_Front_3,92,5.204336304231077,-11.870453116959112,29.39951496178189
P06_Med_Front_3,93,3.0525212510767687,-12.118491050581412,36.83528904989572
P06_Med_Front_3,94,-0.47153016383381896,-12.287425533536208,49.810009380299476
P06_Med_Front_3,95,-4.543928136261854,-12.217379187767847,65.1931152730198
P06_Med_Front_3,96,-8.42053191901772,-11.86424796203039,79.3997154442479
P06_Med_Front_3,97,-11.486751544151446,-11.212834453401086,-89.93525836631588
P06_Med_Front_3,98,-13.20340962926116,-10.218870147353698,-83.53351854113222
P06_Med_Front_3,99,-13.26365357652324,-8.965042708220409,-81.28378063043499
P06_Med_Front_3,100,-11.874306255659548,-7.809014570696036,-82.6541209756771
P06_Med_Front_3,101,-9.651418049071566,-7.163968563538958,-86.39562628935212
P06_Med_Front_3,102,-7.311624177568291,-7.175366181205391,89.87005111414956
P06_Med_Front_3,103,-5.549674289758855,-7.667749025223856,89.0122514450376
P06_Med_Front_3,104,-4.8710797313515855,-8.33809467064384,-87.15066051944268
P06_Med_Front_3,105,-5.2693776818603055,-8.996265950558069,-79.03830430882925
P06_Med_Front_3,106,-6.218677463445431,-9.645533026108552,-69.22066206267334
P06_Med_Front_3,107,-7.109446427729466,-10.369810543366867,-60.65540191178644
P06_Med_Front_3,108,-7.651892086261341,-11.182374288275327,-55.21934460874775
